12,13,20,8,y_signal_changes,rv_signal_changes,18,x_max,rv_std,29,25,x_min,28,14,7,z_max,17,x_signal_changes,30,z_signal_changes,16,19,11,37,10,39,y_min,y_rms,4,5,1,38
6,8,3,16,32,0,16,1.985491452275892,0.8444236999087096,5,55,-2.8716901715241083,9,25,49,3.5735199443522503,33,30,6,26,53,10,6,6,3,4,-2.48984850793803,0.2978504869662067,16,34,5,8
8,15,16,2,32,0,8,2.7021205358758915,0.9343340917143602,1,43,-2.8716901715241083,4,35,17,4.375811732952251,25,34,16,28,34,3,6,6,5,1,-2.51844020133803,0.3602889324802737,30,51,4,1
10,24,11,3,28,0,9,2.7021205358758915,0.9882707651565072,2,50,-3.4151180229241085,5,34,23,4.375811732952251,27,36,19,29,35,5,6,9,4,1,-2.51844020133803,0.3966686625621667,39,48,6,2
15,38,5,12,22,0,5,2.1744150161758915,0.9428678595555104,5,51,-3.4151180229241085,12,44,43,3.6955174504522494,16,32,13,27,30,4,5,8,6,9,-2.36271472943803,0.3866756168608388,20,35,7,7
13,37,6,21,30,0,6,1.7132022625758918,0.8821812129475475,6,43,-2.7705888769241085,10,46,36,3.6955174504522494,13,35,14,24,28,3,8,6,4,6,-2.36271472943803,0.3590748429771024,19,45,3,8
7,32,3,14,30,0,10,1.7234557764758918,0.875063731377586,9,40,-2.645970033724108,15,34,42,3.32954753325225,25,37,14,23,27,10,8,10,8,2,-2.13241038883803,0.3562307288953717,16,41,3,7
7,28,8,23,27,0,12,1.7234557764758918,0.9165406327014866,8,43,-2.6588100522241085,14,40,40,3.5472522797522505,26,34,6,30,25,14,7,14,8,6,-2.13241038883803,0.3845892886493915,18,29,3,6
8,21,7,31,27,0,16,1.6555692410758918,0.913243752049922,6,54,-2.6588100522241085,7,44,40,3.8854823434522494,24,31,8,32,21,13,8,11,5,3,-1.95911894263803,0.3050437243266394,21,25,4,9
6,10,3,35,26,0,14,1.6555692410758918,0.8701149796426616,7,58,-3.2343149890241083,5,29,47,3.8854823434522494,31,28,20,29,33,12,3,9,3,4,-2.55651568563803,0.3105353534218322,18,28,4,4
8,14,3,46,28,0,14,1.4776571838758916,0.8837318230398353,5,57,-3.2343149890241083,6,36,41,3.89217315985225,28,27,24,27,40,15,3,8,3,5,-2.55651568563803,0.3477837525632594,13,31,4,6
