1,22,3,27,rv_max,y_std,z_rms,7,6,19,y_rms,5,z_min,x_min,rv_signal_changes,rv_rms,11,13,y_max,z_max,y_mean,21,39,16,9,8,z_signal_changes,x_signal_changes,38,37,2,x_max
13,9,22,2,10.30369327485846,1.9755598654702304,5.959019333334228,39,49,7,1.9542957464033548,21,-8.52329635234775,-7.831856863624108,0,12.30559405396682,30,47,6.04032685716197,10.06658229745225,-0.0758598098465297,16,5,4,2,18,32,25,5,17,10,6.127663708475891
15,11,22,3,11.13430180087298,1.971323159667684,6.42023877386502,41,42,6,1.9436215639740515,28,-9.09287551404775,-7.831856863624108,0,12.824188765120386,25,52,6.04032685716197,10.70514224475225,-0.0335876183425298,19,3,4,2,17,29,25,4,14,9,6.127663708475891
12,11,14,2,11.13430180087298,1.967732812630236,7.242673356407097,33,33,5,1.9363625159662232,21,-9.09287551404775,-8.13503945402411,0,13.82514286662534,21,43,6.195066665261971,10.70514224475225,-0.0274337389130298,23,4,6,13,40,29,25,2,15,10,5.008025286775892
10,14,14,5,11.483163619221637,2.081756877255469,7.594728626525518,34,34,5,2.166961005373892,24,-8.09349149944775,-8.13503945402411,0,14.1151101839264,25,38,6.195066665261971,10.943386078852251,-0.0145022324950299,19,5,5,13,41,32,26,1,14,9,5.008025286775892
8,13,13,5,11.483163619221637,2.179382676402797,6.897068780512927,37,26,4,2.379137009942868,23,-7.59374035324775,-7.336966962424109,0,13.111057777011483,24,39,6.4658012761619705,10.943386078852251,0.0925482019334702,16,3,9,25,37,35,26,3,10,8,4.089648092575891
12,9,20,8,10.957496408543674,2.343873395954169,6.591384851319528,34,46,6,2.747375288336989,31,-8.44222935144775,-7.336966962424109,0,13.669729122945586,6,35,6.4658012761619705,9.88532494845225,0.0317502820814701,16,3,19,6,7,31,27,11,13,13,6.368122818675892
13,6,22,8,10.957496408543674,2.36989835501056,6.808236538038118,36,41,4,2.810586870592561,27,-8.44222935144775,-7.207750316224108,0,14.244178754996549,4,39,6.44910653496197,9.88532494845225,-0.0689603371755298,15,5,20,6,12,26,27,9,15,12,6.368122818675892
7,9,6,5,10.30789668437353,2.051693157845621,7.035525009243141,32,21,9,2.105024212303105,26,-8.64574228794775,-8.47450315522411,0,13.662480937940888,18,35,5.26097400056197,10.02343204455225,-0.0245684890800298,13,9,13,32,42,28,25,8,14,14,4.233077244475892
9,10,9,3,10.79994542105149,1.8827767618863784,7.395744918284293,37,20,6,1.7728182579656062,24,-8.64574228794775,-8.47450315522411,0,13.879969367727782,16,40,5.421158641661971,10.15912737455225,-0.0280745584445299,15,4,8,25,42,35,26,11,11,14,4.518051857775892
14,15,24,3,12.996957728949544,2.0859976047889672,7.780955559693948,14,44,5,2.179792721968552,50,-8.56960513034775,-8.87767663772411,0,16.748237199037682,19,43,6.28911611386197,11.60745012795225,-0.0905507413100298,15,1,10,2,2,36,27,5,11,17,9.75774782057589
14,15,23,5,12.996957728949544,2.360757087517204,7.980631891971253,21,44,3,2.791488538188331,47,-9.70436699524775,-8.87767663772411,0,18.563849828552712,19,49,7.82785556986197,11.60745012795225,0.0990103535694701,22,1,7,2,2,35,26,6,9,15,9.75774782057589
15,14,12,10,11.765302288189634,2.203994952018917,7.288835039175352,44,29,2,2.4386334490608434,18,-9.70436699524775,-8.18804354052411,0,16.517545462603447,49,31,7.82785556986197,9.808304341452253,0.1402610052609701,18,2,5,19,24,31,26,6,17,10,5.711812434775892
14,7,14,5,10.72686270114247,2.1546462900706467,6.2880569797380925,44,27,7,2.3227014005509514,20,-8.09853788794775,-8.134799393624109,0,14.61774320112664,30,46,6.42154724736197,9.60709911815225,-0.0538717531430298,15,7,5,14,28,28,27,6,15,12,5.635842651175892
7,12,12,4,10.767840909428086,2.262504218600471,6.26620993119295,39,31,8,2.561050703810054,21,-8.61356695904775,-7.896107486724108,0,14.39360492721781,37,45,6.42154724736197,9.95596465355225,-0.0563566183795298,17,9,8,15,29,29,27,1,17,16,5.485058134875891
9,13,12,7,11.4335818902241,2.118297197139626,6.690115451885097,29,33,5,2.243617480709827,28,-8.61356695904775,-8.89306286162411,0,14.971534207523623,33,49,6.365712928661971,9.95596465355225,-0.0072073580500298,15,6,9,14,38,31,25,4,15,16,5.709906000075891
7,11,16,10,11.82766557852525,2.111415078307626,8.111312617528533,38,24,2,2.2307559685512346,28,-8.92317906404775,-8.89306286162411,0,16.64829799368546,39,41,7.28992135146197,10.906612930152251,-0.0586370548175298,19,4,3,15,37,34,26,6,14,13,5.709906000075891
7,14,16,9,12.164658614626374,2.42018727916053,8.917492022442516,45,22,6,2.9319919261872998,19,-8.92317906404775,-8.44254027582411,0,17.834687405644555,10,64,7.335424378461971,11.075271799752253,0.0817152749744702,17,5,7,22,34,37,26,4,10,10,5.221458771575891
8,14,10,5,12.164658614626374,2.405447253270752,7.574498696479127,36,34,5,2.899529124530157,20,-8.492667319347749,-8.44254027582411,0,16.42198833639539,11,67,7.335424378461971,11.075271799752253,0.11349784488047,13,3,5,17,34,35,26,7,8,15,5.479306011175892
7,15,7,6,11.186295401758136,2.013749339748669,7.062270243291113,31,28,6,2.0301647263845277,18,-8.67512147214775,-8.289242900024108,0,15.586331383013793,34,41,6.119734348861971,10.139362377252253,-0.0717150572115299,8,6,7,20,38,36,25,6,18,19,5.479306011175892
8,13,11,7,11.180362630239625,1.8633550818129871,6.08025331213219,34,34,3,1.7369023751498187,21,-8.67512147214775,-8.289242900024108,0,13.354042061435983,35,38,5.637765127161971,9.75391402325225,-0.0413834433240298,15,2,15,9,35,40,27,8,12,16,5.848542106975891
12,13,19,8,10.09715440104733,1.7872251296421782,5.467761776552013,32,33,5,1.5983461961574117,33,-9.37173348604775,-7.259167189124108,0,11.091150087505738,23,43,5.0316993426619705,9.70334794555225,-0.0501869334620298,17,6,13,3,22,35,29,2,9,12,5.848542106975891
18,17,16,8,10.869329022433543,1.8676406114292752,5.281765580652437,31,38,6,1.7449011122210951,38,-9.37173348604775,-7.089337537924108,0,11.49337629471426,18,42,5.0316993426619705,9.62352151185225,0.04148217668197,13,4,12,3,9,31,29,3,5,14,6.524907959175891
15,13,16,3,11.307642731365512,2.057790284431211,6.00836191349019,33,40,5,2.1173452519200078,29,-7.37028972854775,-7.187780330724109,0,13.670948620819283,24,52,6.1765279170619705,9.92469874815225,-0.0137713158605298,16,3,13,4,16,33,30,4,8,18,6.524907959175891
8,11,18,2,11.327900051708497,2.143601832782324,7.032600506566785,41,23,8,2.2975982270739714,24,-7.653933200947749,-7.751208430524108,0,14.782506051752646,23,55,6.1765279170619705,10.462352410552253,0.0129474569009701,14,4,9,13,35,36,30,3,16,16,5.431166612775892
10,10,12,2,11.512969750448834,2.0212457507467554,6.406772020517528,27,28,7,2.048485162603014,23,-7.653933200947749,-7.751208430524108,0,14.045095089732932,34,49,5.97394646986197,10.462352410552253,0.1074054947114702,13,4,6,16,43,36,30,2,11,17,5.262046729075892
13,13,14,2,11.512969750448834,2.04039539294697,5.673248679549285,27,36,6,2.0817206726060054,28,-7.559130356547749,-7.382111521224108,0,12.5345292787405,39,49,6.338840488961971,10.48421493455225,-0.0150991937795298,14,3,8,11,29,38,30,2,7,12,5.429071471375892
11,12,14,3,11.03397627518022,2.0884060797589536,5.121696463985111,48,40,5,2.182823530336678,26,-7.141962145947749,-7.930221332524108,0,11.140408855558,38,44,6.57318090636197,10.48421493455225,-0.0648622131845299,14,2,9,5,23,35,27,3,5,7,5.429071471375892
7,10,13,5,10.33619042918566,1.8624679787335785,4.8476265669458325,47,30,2,1.736108408580159,30,-6.770145037447749,-7.930221332524108,0,10.380199560549949,44,30,6.57318090636197,9.71925066855225,-0.0585648815620298,15,2,10,4,27,29,29,2,11,12,5.472906676075891
