36,18,y_signal_changes,34,20,4,17,37,y_rms,23,15,33,16,21,x_signal_changes,30,z_std,24,9,8,5,14,22,26,7,39,x_rms,x_max,z_rms,32,x_min,3
11,3,34,43,2,18,7,10,0.8810152137555046,13,36,26,20,19,28,9,2.5636077379260094,66,8,11,35,53,25,14,38,7,2.7648176479173747,4.959240100475892,3.287260580838479,34,-6.866805643224108,22
14,10,32,26,3,29,19,10,0.975388953869279,17,48,33,35,21,26,12,2.634071588213125,65,8,11,27,37,20,16,36,4,2.6184958362509287,4.947644885075892,3.4698501140509617,36,-6.608078265624108,18
19,10,33,22,10,34,21,8,0.9789448626896708,27,45,37,37,23,26,15,2.631156144326249,61,6,4,26,32,16,20,44,5,2.892329134033363,5.414764477475892,3.461589351833433,38,-7.333162218624108,17
20,11,31,29,10,35,16,7,0.9148029168249632,20,48,36,25,27,28,10,2.6453548877822137,54,6,6,26,39,19,18,37,3,3.145447811217472,5.561733724175892,3.501753589795748,45,-7.333162218624108,19
16,9,31,33,4,32,27,8,1.1947781675998552,20,57,32,39,6,29,9,2.943487107248902,54,5,7,31,26,35,17,26,3,3.385764630145212,6.160004806075892,4.332128525934993,46,-7.227045600324108,21
13,11,33,17,7,28,33,11,1.2784948023014409,23,57,37,33,8,27,18,3.1050594450869027,65,5,7,39,26,29,8,24,4,3.2427050502998163,6.160004806075892,4.821374414949256,33,-7.227045600324108,22
16,13,33,23,5,26,24,8,1.121462166625431,17,57,33,30,10,25,21,2.8966362932511154,72,7,8,34,29,26,7,43,2,2.950748839262044,5.503636541175892,4.195294263089851,36,-7.5246310586241085,19
8,14,32,35,4,20,15,19,1.282387574823653,10,50,28,48,8,27,10,2.8507671915380186,45,7,11,31,29,25,18,40,7,3.305133736154259,5.503636541175892,4.065145684348288,33,-7.5246310586241085,24
16,13,37,37,5,27,21,13,1.1833005901692062,15,61,37,37,5,29,8,2.937960284348256,46,7,10,26,28,33,15,44,5,3.388665662946413,5.464603905575892,4.316836781313792,31,-7.691419511224108,18
15,14,34,38,6,23,23,8,0.9681141596757716,22,58,36,24,22,28,6,2.761635773324446,66,7,10,30,32,26,8,49,2,3.291144313203306,5.426873726575892,3.821470202885587,38,-7.691419511224108,17
12,15,30,38,6,26,16,16,0.9161748961979284,15,45,43,38,13,28,6,2.621625165244565,66,4,10,40,27,31,14,37,7,2.890683142377789,5.522933236775891,3.43849398104872,35,-7.292102931524108,22
13,13,38,28,6,28,16,13,1.0273818544827005,20,45,45,35,5,31,7,2.561537303200094,63,5,8,45,28,31,21,21,2,2.4930002348575107,5.522933236775891,3.289872699014575,39,-6.207980819524108,28
13,17,36,35,5,34,16,15,1.001119066187783,24,52,41,25,5,31,9,2.445094847767376,37,5,12,33,36,25,28,21,5,2.3945228454956133,5.229048454475891,2.9896832037357104,34,-6.200398700924108,24
17,13,32,40,5,28,28,13,1.1560109741365678,15,58,35,47,10,30,7,2.4448207360299934,38,6,16,41,17,23,33,36,5,2.4969930124800346,4.886051959875892,2.9910648684067214,31,-7.091241373624109,14
13,20,34,30,4,22,27,10,1.3976371216881958,16,46,43,42,3,32,3,2.589226752513942,28,5,18,35,23,17,42,48,2,2.329238876564406,4.631385745675892,3.35227652573524,47,-7.091241373624109,12
12,15,34,31,3,12,19,8,1.3610111980676354,17,41,35,35,6,31,4,2.5617663984329804,24,9,33,29,30,10,49,49,3,2.2153503646167887,3.833384145075892,3.2814291250771763,50,-7.005871832924108,15
9,13,32,35,2,21,14,12,1.2540415698303844,18,42,31,29,10,32,9,2.4794685285974047,52,3,21,35,39,19,21,41,6,2.72292386890467,5.110099181775892,3.073962404671335,45,-7.811760992724108,14
14,10,31,38,3,32,16,11,1.117739879441706,20,34,30,23,8,34,15,2.5486763786099647,49,3,5,50,49,19,21,22,7,3.4990388652141986,6.994016690975892,3.247885014584136,44,-8.161655114624109,25
13,5,35,23,1,26,15,11,1.026421261240825,18,31,42,26,10,35,14,2.625668044315611,36,6,5,46,54,22,23,25,3,4.086286173819907,6.994016690975892,3.447066989423424,43,-8.697718773924109,24
13,9,33,35,20,22,16,7,1.1340091654694355,24,52,19,27,19,31,16,2.7837381238750587,67,7,5,43,44,8,15,25,8,4.871904712234031,7.028143677475891,3.8770474096590526,39,-8.72100202342411,21
12,4,28,25,34,24,17,9,1.4015998599005326,34,25,17,23,13,31,12,2.9795466402785182,51,6,8,40,54,9,15,28,10,5.085494432249358,7.056660173775891,4.43886242583047,39,-8.72100202342411,23
18,3,31,26,5,18,15,12,1.540377663481163,13,31,18,14,28,30,10,3.1530955549272344,38,5,9,41,33,17,21,32,5,5.15228404916908,7.075513467675892,4.974980650631959,33,-8.17530016592411,20
19,6,39,18,15,23,10,17,1.408918276897302,12,29,25,4,21,27,16,3.2645165699187078,50,6,7,42,35,9,20,32,5,5.095836334536874,7.075513467675892,5.330671052542112,30,-8.17530016592411,20
24,8,40,25,14,30,7,7,1.1345455043162238,10,24,22,13,29,27,14,3.3188394419133447,77,7,3,35,42,10,18,32,4,4.865493575443762,7.210705367375891,5.508918448475513,33,-8.48322639972411,24
17,7,38,31,19,32,11,10,1.109051384970084,30,22,26,18,30,30,8,3.1747161722212347,55,7,4,36,54,13,16,35,3,4.830811363340677,7.210705367375891,5.04223617080309,42,-8.50795650302411,26
20,7,32,26,17,23,20,5,1.073645199669799,20,23,27,22,23,29,11,3.0172940935026724,64,10,19,36,45,11,22,36,6,4.211386389584434,5.818289527175891,4.554466241991234,43,-8.519833494324109,19
23,9,29,20,23,25,28,1,1.014416655848987,27,28,30,24,11,29,10,2.817350334019748,65,6,17,31,58,12,15,45,3,3.1957414698591684,5.430443317275892,3.969259244010969,57,-8.519833494324109,13
19,10,30,34,2,26,28,6,1.1479914561046771,14,37,38,28,11,31,10,2.575229522393647,16,8,18,32,44,16,41,48,3,3.041454658638927,4.978641152575892,3.318312089704263,44,-8.25989621272411,4
15,5,37,27,2,17,15,12,1.0930145481088098,15,36,40,24,11,31,16,2.7086226424701,31,17,38,32,48,25,27,43,5,3.5158943196529844,4.218631871475892,3.6694398168937226,43,-8.25989621272411,4
15,5,41,29,5,32,5,10,0.8785842073108293,21,36,31,19,16,35,16,2.9060340664649424,61,3,4,38,59,32,23,37,1,3.84483623810321,6.471882840475892,4.222796378527292,53,-7.870599097524108,19
13,6,35,25,1,31,17,14,0.982123145291387,23,50,40,25,5,33,14,3.105914041840314,48,5,8,41,45,26,27,29,5,4.624586641687419,7.359011255275892,4.823522322252096,44,-8.798420514924109,25
15,17,29,22,1,34,20,12,1.3200497014766217,20,40,39,37,3,32,14,2.8801156384227387,37,7,6,37,34,24,20,29,7,4.6138342280757065,7.372940224875892,4.1479629562757285,45,-8.798420514924109,25
18,12,32,31,15,25,15,7,1.28477602966574,32,44,35,34,25,31,8,2.736923983361121,72,5,4,41,41,11,12,21,5,4.525097542226971,7.372940224875892,3.746498820830098,46,-8.134214130824109,30
6,12,34,32,2,28,20,12,1.2681179058097365,24,63,23,48,3,33,18,3.3659702374579283,40,7,16,36,28,30,19,36,3,4.246528702173508,5.908104289575892,5.672236070241661,37,-8.134214130824109,19
