z_min,16,3,rv_max,x_std,y_max,7,x_rms,11,6,y_min,1,25,z_std,2,0,z_mean,rv_std,x_signal_changes,29,14,y_rms,8,y_signal_changes,y_std,z_rms,z_max,13,26,31,5,34
-6.7121615697477495,7,25,8.740144087006994,1.7098658845743715,4.29055697426197,11,1.4618407230198995,19,43,-2.53043812203803,16,46,2.39071437600185,24,10,-0.0844320828072496,1.382619069325193,27,4,53,0.6772764763015364,3,31,1.1638241597730126,2.861322002114542,8.615988277352251,54,3,41,43,14
-4.99420926494775,14,32,7.139503928611025,1.485994758906517,3.86519141256197,5,1.1043859024011056,22,26,-2.53043812203803,15,42,2.21164137482005,30,14,-0.0304516003962496,1.199370248032792,25,4,53,0.6586009400459615,1,31,1.1471014711081962,2.446142435391308,7.036336692252251,40,10,34,42,24
-4.99420926494775,5,29,7.186211921307745,1.2596649398714674,4.91716240926197,20,0.793762611906473,41,30,-2.19768211803803,5,34,2.3943143916679386,16,9,0.0736369424762503,1.364564565587581,29,5,22,0.7201400873009587,7,39,1.200093694012845,2.869081902722731,7.103932930552251,55,10,40,43,21
-4.781245361747749,5,28,7.186211921307745,1.3447437762883747,4.91716240926197,23,0.9041920938997848,38,32,-2.18769734983803,10,33,2.337493280984312,16,15,-0.0131652529757496,1.3125082076672738,31,6,25,0.6734016547540556,7,36,1.159430123626536,2.7320240812663594,7.103932930552251,59,7,34,33,20
-5.39266401924775,4,20,9.815119477115784,1.388899627664986,4.81964116496197,29,0.9654903890230954,26,27,-2.22517427663803,15,7,2.7286520177445204,10,8,-0.0585341415897494,1.6199910248707576,34,3,26,0.7070527581242618,27,34,1.189047512656952,3.724484039836447,9.80598761345225,58,5,51,32,17
-5.39266401924775,5,16,9.815119477115784,1.2777426546309134,4.81964116496197,30,0.8168172872338901,21,28,-2.22517427663803,9,7,2.827739845355814,7,8,0.0570054108232504,1.691376713761681,34,3,17,0.7368731872481198,22,44,1.2137750511824457,3.9996811249380255,9.80598761345225,51,6,64,39,20
-4.76980729264775,9,14,8.38567757549224,1.240262790861152,3.5906936699619703,34,0.7692898094804103,13,29,-2.09388623253803,11,26,2.607497173245876,9,10,0.0403595400052504,1.3994449785132794,30,6,29,0.5946434155429098,24,48,1.0905317338477911,3.4003352004773304,8.38394498115225,65,3,56,42,24
-4.76980729264775,7,9,9.367199188375087,1.2351962195166868,3.86992192806197,33,0.7630896597773501,13,40,-2.27625652433803,10,9,2.777317292887276,9,10,-0.0854480213317496,1.4739938252277087,29,3,44,0.6174636917784556,32,44,1.111163056913514,3.860396354860109,9.36365771135225,67,2,57,23,15
-4.79435107434775,5,4,9.367199188375087,1.2321609712496566,3.86992192806197,37,0.7601216257709819,16,50,-2.27625652433803,11,9,2.8741005458692026,12,3,-0.0139108848397496,1.5281811688661782,28,3,32,0.6140374852984328,31,42,1.108131010772911,4.130323730241338,9.36365771135225,67,3,59,24,15
-5.06196556874775,7,10,8.612720508123852,1.346226304107478,3.62386841796197,39,0.906261550722418,17,50,-2.16937004953803,9,27,2.782692404801688,13,6,0.0211678643787503,1.524220266472273,26,5,36,0.6001426367657418,28,40,1.0952982492456265,3.87191254911168,8.604711293052251,57,2,44,25,28
-5.06196556874775,11,15,8.612720508123852,1.4328533323454555,3.82281234946197,26,1.0265758582096105,17,39,-2.28237754233803,16,23,2.669764677501949,13,6,0.0059403864872504,1.488815973014146,26,5,36,0.6247156987276761,6,45,1.11747616157223,3.5638393607143484,8.604711293052251,66,4,47,47,29
-4.62969601574775,13,17,8.083445899604374,1.408939304577196,3.82281234946197,25,0.9928227415119456,15,34,-2.28237754233803,18,23,2.503369550974657,14,6,0.0921511540707504,1.3592132496962286,29,6,31,0.5362507958469627,5,48,1.0356105486174976,3.137675471971816,8.07862424395225,72,5,56,42,26
-5.68812701774775,5,20,8.00081958814159,1.481568588189755,5.096312168861971,18,1.0977616157968255,22,35,-2.43452387783803,14,48,2.6309907035408977,16,5,-0.0824808704937496,1.4181948011267187,30,6,19,0.6593554240233607,2,48,1.1483499884048978,3.464457588058018,7.95920832415225,64,6,46,44,31
