z_max,15,rv_rms,6,x_signal_changes,rv_mean,7,0,z_rms,x_max,32,9,14,16,20,18,y_signal_changes,2,3,4,rv_max,z_signal_changes,x_min,rv_min,z_min,rv_signal_changes,21,17,y_min,23,19,36
11.47268760495225,19,12.1878898501231,23,32,4.309443187260376,24,6,7.513063320095295,3.953392095775892,36,15,4,35,9,51,37,12,11,31,11.53271443917846,41,-5.100663665524109,0.3091689331336199,-9.53222278204775,0,12,53,-8.515453024438031,32,25,7
9.964422263352253,16,10.133845769628811,27,30,3.9651508698036015,19,5,6.0538951428437136,3.345510960375892,35,25,3,47,12,56,34,16,11,25,9.967822447590905,45,-4.836279088724108,0.3091689331336199,-8.08569489114775,0,10,47,-8.515453024438031,37,20,11
10.58528400755225,18,10.812626953102464,28,28,4.09035942156583,22,3,6.551596930940853,3.544077102275892,37,16,8,49,13,43,34,15,16,23,10.679196799353493,41,-4.879381241724109,0.5982617053469591,-8.08569489114775,0,9,55,-7.765341353338029,41,11,12
10.58528400755225,13,10.21384119336284,27,28,3.97446044215714,22,5,5.86602570838021,3.544077102275892,38,12,9,44,12,45,38,11,16,24,10.679196799353493,41,-4.879381241724109,0.578668016077462,-7.73730119584775,0,7,64,-7.765341353338029,49,9,14
10.286774474752251,20,10.19614380829939,27,29,3.95481161129868,31,8,6.157945997511174,4.008429349575891,44,6,8,44,14,50,36,14,19,33,10.360344139116128,43,-4.824193898824109,0.4582897454906489,-7.59372758154775,0,10,51,-7.549735884238029,43,15,13
10.286774474752251,23,10.377824086391175,27,28,4.013673133103127,29,5,6.1053867903399786,4.008429349575891,45,6,10,40,13,49,40,11,20,35,10.360344139116128,47,-4.824193898824109,0.4582897454906489,-7.59372758154775,0,10,50,-7.549735884238029,46,13,13
10.388151996152253,21,9.670661433047169,24,29,3.911339677204104,31,6,5.29681115641178,3.932476867375892,44,4,13,33,8,47,41,11,15,25,10.40500051648381,46,-4.688280830124108,0.4289644160801555,-8.12294835124775,0,9,57,-7.287004101938029,40,13,8
10.388151996152253,13,10.378528515915212,24,31,3.999975546799212,29,5,6.149659711789492,3.932476867375892,39,7,10,38,10,56,39,14,13,24,10.40500051648381,40,-4.688280830124108,0.2579050614996249,-8.12294835124775,0,10,58,-8.257171702938031,36,15,8
10.232523417152253,15,10.508959858788462,23,29,4.015269005127831,23,10,5.959413901145692,3.741209171575892,40,13,5,27,12,71,39,12,16,24,10.276119879946709,38,-4.479438967024108,0.2579050614996249,-7.84070841214775,0,9,46,-8.32857991533803,47,22,13
10.96872205665225,12,10.221906319832629,20,32,3.9917286994480654,23,11,5.634317803411749,3.741209171575892,42,14,4,34,12,68,40,15,13,29,11.032478510417384,38,-4.587903362524108,0.2584287550645415,-7.432849577647749,0,11,48,-8.32857991533803,66,20,17
10.96872205665225,18,11.035375871647286,19,36,4.151415498233521,28,7,6.707241788499432,3.575667612275892,37,17,5,33,13,57,37,12,13,33,11.032478510417384,33,-4.587903362524108,0.130343098397938,-7.74896386354775,0,13,50,-7.597284824138029,54,20,17
10.658930167452253,18,10.536348212775138,25,32,4.025967537350854,24,8,6.368526607780998,4.492821334475892,41,2,6,36,11,56,35,16,23,40,10.717608092596835,31,-4.309530726224108,0.130343098397938,-7.74896386354775,0,15,50,-7.418010445838029,40,16,17
10.780628078452253,10,10.093586497948037,32,27,3.947462642149846,24,2,5.772377374231787,4.492821334475892,47,5,4,36,10,56,37,16,23,28,10.841768072766518,36,-5.9583063901241085,0.2962069243383072,-7.80154617364775,0,15,56,-8.18018779203803,42,25,11
11.33897151275225,21,12.105942482192734,29,31,4.353343829634836,29,2,6.987408211517416,5.437256454275892,48,2,11,49,11,30,40,23,20,45,11.375589218259885,41,-5.9583063901241085,0.5073285555154934,-8.770557583147749,0,11,63,-8.18018779203803,35,7,13
11.33897151275225,26,12.962539857538973,22,32,4.535369099975796,22,5,7.514338482977887,5.437256454275892,39,4,13,45,13,26,36,21,18,40,11.375589218259885,38,-5.300207872124108,0.4975287950614311,-8.78425264914775,0,7,59,-7.53647959753803,39,10,11
12.37379500765225,21,14.280584525452516,24,34,4.744074892815166,25,5,8.894763279490476,5.050099617875892,36,5,9,38,18,40,31,23,16,38,12.373917709404688,30,-5.300207872124108,0.2462301636353852,-8.92146935174775,0,10,48,-7.697310295638029,54,23,9
12.37379500765225,23,14.057033024388904,18,35,4.667221209952096,24,5,8.94435881149165,4.485079717175892,31,8,8,43,14,39,31,20,12,39,12.373917709404688,31,-4.803148146424109,0.2462301636353852,-9.08142096464775,0,11,50,-7.697310295638029,47,17,11
12.282835977852251,19,13.300721091028652,19,33,4.539080044632879,22,11,8.435247918695099,4.514138621875892,41,7,7,46,12,45,35,17,11,38,12.326135467534815,38,-4.803148146424109,0.3756417303812417,-9.63184331834775,0,10,50,-8.33737097213803,39,20,12
12.282835977852251,23,13.932650784302636,23,32,4.65177688285513,24,11,8.776663760175344,4.514138621875892,46,6,9,41,10,45,32,15,15,28,12.326135467534815,32,-4.824628793024108,0.526504856210054,-10.13805789604775,0,10,47,-8.33737097213803,31,18,12
12.56081944955225,20,13.662388189272583,22,34,4.594575664930463,20,12,8.289375620237571,4.690374770475891,48,9,7,39,12,47,35,18,17,33,12.568183581163376,27,-4.824628793024108,0.526504856210054,-10.13805789604775,0,6,56,-8.717656896238031,30,16,10
13.46482691985225,17,15.608265936269762,25,36,4.912832770914192,26,3,10.132237072529776,5.092575848475891,47,12,6,40,14,46,37,18,18,33,13.46612306226024,28,-5.886451624124108,0.7110853542827329,-10.13758550744775,0,11,58,-8.991866057538031,43,19,12
13.46482691985225,19,15.89790589706432,25,33,4.937488346704655,27,2,10.447930366445664,5.646753641975892,48,8,9,42,11,40,37,18,27,32,13.46612306226024,25,-5.886451624124108,0.4199706701346845,-11.08019660554775,0,10,58,-8.991866057538031,34,19,11
11.884617483152253,42,14.55672827662942,25,31,4.740612179660673,20,15,9.913892619360128,5.646753641975892,43,3,18,37,10,29,36,20,18,38,11.895281350219625,25,-4.987818780824108,0.4199706701346845,-11.08019660554775,0,10,38,-5.694047168638029,19,10,10
