1,6,x_signal_changes,35,17,38,33,39,37,36,32,23,3,8,rv_mean,y_max,rv_rms,30,rv_signal_changes,2,x_max,0,9,27,y_signal_changes,y_min,4,18,16,11,rv_std,28
16,30,42,17,5,3,25,4,5,6,48,62,47,2,3.879749829812827,8.24603486646197,10.177843260255678,22,0,15,5.669479479075892,2,4,4,38,-3.9730118867380297,37,4,8,21,2.3028738086527243,5
13,27,47,17,5,2,29,2,5,11,50,60,36,2,3.665124069683751,7.1891169694619705,8.938549984372576,20,0,11,5.669479479075892,7,2,5,37,-5.1571347225380295,45,7,12,13,2.108071517422967,4
10,42,43,21,5,2,29,1,2,9,43,50,23,12,3.390695035040144,6.866036994561971,7.638860095602359,18,0,7,3.940305741875892,6,2,5,31,-5.1571347225380295,32,6,12,7,1.9444555460485151,1
14,22,35,14,3,8,27,4,16,19,39,16,35,0,3.227702690014186,6.27627809286197,6.470229637492097,12,0,19,5.249277389475892,6,2,13,32,-4.26680618173803,57,7,8,19,1.5882048419078003,7
10,37,34,18,7,2,29,2,3,5,41,44,33,2,3.5037826619988874,6.390183682361971,7.812920369741257,20,0,17,5.249277389475892,6,2,3,32,-3.21312395953803,35,4,6,32,1.830122344806087,1
7,27,33,20,2,4,25,2,5,11,37,42,17,30,3.7254465216016017,8.22049459886197,9.023383178819898,26,0,10,3.384728253775892,4,11,5,29,-3.73843626353803,23,6,7,41,2.04152261126991,4
9,41,31,22,1,2,29,8,15,16,32,36,22,6,3.6543056914250434,8.22049459886197,8.562915610050673,12,0,11,4.369421286475892,6,3,0,29,-3.73843626353803,33,8,5,39,1.942133140060144,6
9,33,32,16,5,9,37,7,8,16,46,39,19,9,3.5123984873473835,7.061568446661971,7.876043662131992,7,0,19,4.369421286475892,7,6,2,27,-2.63556135843803,42,2,1,60,1.8480108739787693,7
6,31,34,17,5,2,47,4,11,8,48,41,17,9,3.57925631276423,9.18987427916197,8.171964966476786,10,0,14,4.107146398475892,2,10,6,26,-2.66761703223803,35,0,5,65,1.8795888328277968,3
5,39,33,11,4,5,33,2,4,7,54,46,27,11,3.6733028928656655,9.18987427916197,8.639102600211661,22,0,13,4.462206623575892,1,8,4,33,-3.90698678073803,36,2,3,50,1.9455207677349624,4
15,28,32,13,3,2,39,2,7,7,44,53,33,7,3.4784433334555627,8.92955585586197,7.950126988234725,21,0,24,4.462206623575892,9,2,3,35,-4.2023635830380295,30,3,1,31,1.949534804102762,4
13,23,39,12,4,6,39,3,7,9,40,58,33,11,3.460225857427787,8.79660586386197,7.968584437202224,25,0,14,4.055093574275892,3,4,4,34,-4.2023635830380295,39,3,1,31,1.9909811375280744,5
20,21,41,11,4,4,27,2,8,5,48,64,44,0,3.5719744167166563,8.79660586386197,8.390482738998868,28,0,28,6.170827789975892,10,2,3,37,-3.63125733053803,35,3,2,41,2.005483543766801,3
25,9,34,12,2,3,31,5,3,6,43,42,44,1,3.5691753645302806,7.389726101861971,8.422733176067293,19,0,29,7.814197662475892,11,2,4,40,-3.63125733053803,46,5,5,24,2.026438641894869,3
26,2,33,10,4,2,33,3,5,6,46,43,47,0,3.2832649026001106,7.389726101861971,7.206091658414131,30,0,27,7.814197662475892,7,2,3,35,-3.58243593503803,50,6,0,17,1.9058737881041736,4
15,29,38,14,2,5,35,2,10,7,40,47,28,3,2.846576383476273,6.13271053826197,5.216622238641032,17,0,29,4.381472087875892,13,2,4,31,-3.24114982353803,37,5,4,17,1.526514778938351,7
17,16,34,25,5,6,33,6,13,11,41,39,36,4,2.944709146280642,5.45850656196197,5.494536980896571,11,0,40,6.179838345675892,3,3,5,41,-2.62725914993803,36,2,3,34,1.5224197862627409,7
16,20,30,22,3,6,40,7,8,14,41,33,36,5,2.8848558777653683,5.83830262856197,5.288984555846403,6,0,41,6.179838345675892,4,4,2,41,-3.93156209903803,31,4,7,6,1.5018574087493854,3
12,19,29,18,2,7,46,4,10,10,41,29,33,4,2.6075522860559435,5.83830262856197,4.306738340284461,8,0,39,5.499481007675891,6,2,3,39,-3.93156209903803,36,4,6,5,1.346903023997398,6
20,13,25,24,3,5,45,2,12,8,39,27,20,5,2.7352651354080604,4.99665825156197,4.713360946080396,13,0,46,6.822731158075892,6,2,3,41,-2.36264461693803,40,0,5,27,1.3946492502353092,5
24,19,28,22,2,2,50,5,10,9,36,42,33,6,2.897585152862669,5.42007581976197,5.353012707338843,16,0,33,6.822731158075892,9,2,4,37,-2.98506050993803,35,2,5,18,1.5198768688902122,4
12,21,28,24,2,1,36,4,10,9,45,41,38,2,2.8542451345042337,5.42007581976197,5.191640421745052,15,0,35,5.970539588875892,10,4,3,48,-2.98506050993803,33,2,4,12,1.4955151472482695,5
14,24,27,14,8,1,27,3,2,9,45,50,29,3,3.096234099334516,3.56109190046197,6.231410973402225,30,0,44,5.970539588875892,9,7,8,53,-2.67652748703803,28,5,15,13,1.6959234501953864,2
28,10,31,20,11,4,24,4,1,10,43,56,26,7,3.316388203666059,3.97276257716197,7.134197026236319,24,0,36,7.070444691275892,9,1,6,45,-2.94655686753803,41,4,16,17,1.808303994094257,5
29,4,30,21,2,4,34,5,4,9,47,48,34,3,3.309759438217503,6.76732458046197,7.109991828373943,10,0,36,7.857459541375892,12,2,3,46,-3.12900183323803,34,2,3,29,1.807062842813732,3
24,4,30,17,0,3,35,5,7,4,39,51,41,2,3.261017468938767,6.76732458046197,7.049965739521829,12,0,34,7.857459541375892,11,2,0,42,-3.12900183323803,42,2,3,34,1.861638135170165,5
30,5,33,14,3,2,28,1,5,7,43,63,40,3,2.9886831139720464,6.471899346961971,5.903549756607139,14,0,38,7.378838728975892,17,2,4,43,-2.90062202533803,38,0,3,37,1.6955449735918622,6
13,12,34,17,2,1,22,1,10,9,44,63,39,2,2.905684159909617,5.810592570461971,5.420267729348792,23,0,43,6.334783207375891,7,3,4,44,-2.90062202533803,33,4,6,24,1.5483975657265583,8
15,8,34,16,4,2,28,2,2,10,38,65,47,5,3.0644730632766963,5.810592570461971,6.057583808282919,28,0,41,7.2808230689758915,11,1,5,44,-3.63221243003803,36,3,8,12,1.650506728558647,1
20,5,30,15,2,5,26,3,6,4,40,62,48,3,3.207084040849064,7.748502104361971,6.727648124265224,24,0,28,7.2808230689758915,9,1,2,43,-3.63221243003803,44,2,4,44,1.7804236022535995,5
9,36,35,11,2,8,39,5,6,5,42,43,27,5,3.4514394116959948,7.748502104361971,7.52587717389771,14,0,18,4.458767827075892,7,4,3,38,-3.6102737016380297,36,3,4,47,1.7718127257661924,3
8,41,37,8,3,5,44,4,8,10,39,39,31,10,3.791500100585698,8.91708662536197,8.984443421152806,19,0,15,5.621576011075891,2,1,5,40,-3.89537089893803,43,5,2,40,1.895630193250845,2
11,31,41,11,4,7,37,6,7,12,44,51,31,11,3.829606421934821,9.01740302326197,9.379168701688588,21,0,20,5.621576011075891,3,3,4,40,-3.89537089893803,35,4,3,46,2.022980982721476,4
8,28,44,10,4,7,36,2,6,7,55,56,20,6,3.4561953781238217,9.01740302326197,7.674929216020667,18,0,20,4.851916109775892,10,6,3,40,-3.5359903888380297,33,4,3,51,1.845148216343836,1
8,30,37,6,1,6,40,6,4,5,52,58,21,7,3.0662433714384685,7.963145911561971,6.124216859637913,13,0,24,4.285920961575892,6,7,2,40,-2.98417113293803,36,4,2,48,1.6871826535338366,2
5,4,34,5,2,1,16,1,2,8,45,51,56,1,3.168726484824404,8.19939853426197,6.745044041406198,50,0,38,9.157373350575892,2,2,4,37,-3.57118273223803,47,3,2,36,1.85721849742694,3
6,2,37,5,3,4,32,2,3,8,43,55,57,1,3.5221689372475784,10.67375825776197,8.607601898579542,23,0,31,9.157373350575892,2,2,4,38,-3.57118273223803,60,1,0,64,2.193064015173148,3
6,25,39,8,4,4,23,2,6,8,37,42,18,12,3.557220653185019,10.67375825776197,9.03665726188683,31,0,10,3.214754382075892,11,5,2,36,-2.85077599843803,39,1,5,95,2.3279810455258425,5
7,41,39,13,5,6,22,2,8,8,29,62,9,16,3.472231554634328,10.489172373661969,8.942722034088211,29,0,11,3.271912426775892,4,8,2,35,-2.85077599843803,28,2,5,83,2.414342995346371,4
12,30,39,20,2,4,26,7,3,6,32,58,13,14,3.6614447852158194,10.78423432686197,9.87995256383941,27,0,13,3.739391673975892,5,7,4,33,-3.62256113413803,33,1,2,86,2.520660074761115,3
10,32,33,23,1,2,25,5,4,8,33,48,16,17,3.781309528275101,10.78423432686197,9.942112327448296,27,0,10,3.739391673975892,6,8,3,29,-3.62256113413803,41,2,4,85,2.363455712780018,5
7,36,35,28,6,8,15,4,3,11,39,50,14,20,3.791867367779616,10.09841614566197,10.036035979559175,27,0,8,3.814780874175892,8,5,4,30,-3.27799942033803,32,3,3,82,2.386171373620601,4
9,27,40,20,5,5,17,7,7,3,51,50,11,20,3.782467187326402,10.735757529161967,10.19231464046692,25,0,12,3.814780874175892,9,4,3,33,-3.16208606633803,26,5,3,87,2.465273059466825,4
