x_min,22,rv_signal_changes,y_min,23,y_std,32,28,rv_min,z_std,z_rms,11,15,29,35,3,0,8,y_signal_changes,34,38,39,33,y_max,x_std,2,36,18,x_rms,z_mean,27,7
-5.404927030424108,42,0,-3.59328840363803,42,1.5225662505247288,42,5,0.9250327275658726,3.1188978249667776,4.86769773844103,20,30,3,27,28,9,19,33,35,1,3,36,3.05157765436197,2.3004147850152634,13,4,12,2.645990427533006,0.0887233582522503,3,35
-5.2099352474241085,45,0,-3.31631941413803,34,1.5890483824877235,41,7,0.9250327275658726,3.1181764496309112,4.861726345067613,24,19,2,24,39,6,19,29,40,4,2,40,3.05157765436197,2.1176724212013167,11,4,12,2.242564188959087,-0.0206958716267496,5,33
-4.271726139324108,42,0,-3.63900074263803,39,1.4569117232378044,49,5,0.9990890533053592,2.8659793556504782,4.1072577390460365,17,17,4,16,24,9,18,27,33,2,2,44,2.59146044406197,1.9442072522249083,28,5,38,1.89019965737352,-0.0260348051142496,7,27
-4.810707347224108,34,0,-3.63900074263803,40,1.4090452929985726,41,7,0.9990890533053592,2.771953406010336,3.842332659234165,13,18,2,25,25,6,18,32,30,4,2,48,2.08386497546197,1.9903646664526264,21,8,42,1.9844080547798055,0.0306534398727503,11,23
-4.810707347224108,30,0,-4.45258059733803,47,1.4639468126915118,41,8,0.9272474070808584,2.861624450677987,4.095252090692842,1,20,1,18,33,8,18,31,33,1,1,41,2.54747587066197,2.075373699000441,18,5,39,2.155394833325448,-0.0401208757082496,6,20
-4.705420393824109,24,0,-4.45258059733803,54,1.4028849318142396,42,5,0.9272474070808584,2.808097878441548,3.942721219301045,3,26,2,17,34,7,23,33,29,1,1,41,2.54747587066197,2.1315702365861813,22,5,25,2.2740675176435787,-0.0053613145937496,7,12
-4.037840305824108,35,0,-3.49056669523803,38,1.2640253944858335,49,3,0.6620728285663143,2.8290780229755907,4.0020160045884685,7,28,4,22,25,6,21,35,31,2,3,49,2.26254899466197,2.082831159128163,33,15,18,2.170809877115224,0.0186962320657503,11,11
-3.3409102218241085,44,0,-2.82364039263803,36,1.1216440706410775,54,2,0.6479359916636511,2.7199410514385582,3.699151708553235,9,33,4,15,26,17,12,35,26,2,3,48,2.16543883086197,1.919918274363448,25,11,19,1.8433911518969268,-0.0149697630502496,8,22
-3.654718462824108,39,0,-2.75363524183803,41,1.1378804054213525,42,3,0.6479359916636511,2.507959179334491,3.145200853847784,11,25,4,13,28,9,19,36,34,2,3,53,2.30669048886197,1.8701849778898303,24,9,15,1.7488609169614373,0.0232908241037504,8,22
-4.695194591824109,31,0,-3.94145306103803,42,1.4050762747840235,47,4,0.7788911449474396,2.680294045496612,3.592155078964057,4,26,1,14,25,5,19,36,32,4,1,49,2.62827077546197,2.055591723088721,22,6,24,2.117532497179228,0.0182753277267503,11,23
