z_min,rv_mean,y_rms,z_signal_changes,rv_min,10,rv_max,14,20,6,y_max,9,x_rms,32,21,3,8,5,z_rms,rv_signal_changes,34,17,33,18,31,7,22,25,35,37,28,39
-6.747820568147749,3.9365256208109543,1.5131381160960138,38,0.4144766680190073,13,9.552120369338406,28,15,52,4.262437798461971,10,3.871406740141194,32,11,13,18,38,4.379335428595067,0,23,16,36,10,29,31,13,52,25,9,6,2
-7.048168650047749,3.885450213911414,1.5013805062419734,35,0.4144766680190073,1,8.972446167650823,38,9,43,4.262437798461971,17,3.4836030737214982,32,19,13,22,28,4.492064209000072,0,28,15,27,11,26,41,10,64,27,16,10,2
-7.89920998404775,4.0767566460714,1.2225666054407345,33,0.5750832438270369,2,9.72484084060091,41,6,35,3.74480268916197,19,4.237017790759616,32,18,16,23,27,4.954670061545251,0,29,33,31,11,36,43,12,69,22,13,5,4
-7.89920998404775,4.1388102609766415,1.150665717202049,31,0.9283811478484983,2,9.72484084060091,40,5,27,2.77382088076197,21,4.593143503319307,28,19,17,22,27,4.837114582713128,0,23,28,31,33,34,49,12,74,24,8,6,3
-7.96787993094775,4.0967973426054245,1.242615403968133,32,0.4815320840944277,4,11.061939364764864,37,5,36,2.91275420436197,10,4.396480974044379,38,22,20,25,28,4.79441063576859,0,30,24,36,31,36,42,12,52,22,5,3,2
-7.96787993094775,4.147522111203614,1.2089386112053868,32,0.4534789530557748,4,11.061939364764864,34,6,38,3.27484494706197,10,4.540452045748181,37,21,13,25,30,5.210240740189509,0,23,29,35,17,34,40,13,48,27,5,3,3
-7.99297015654775,4.245942266833223,1.1938891958835078,32,0.3985271678213324,3,10.796958184943485,28,9,37,3.66403334486197,15,4.469635849061749,34,19,10,32,27,5.845778734184197,0,25,21,31,10,35,38,12,53,30,8,5,2
-9.862244041647749,4.770578464874274,1.579317741016223,31,0.3985271678213324,5,11.939507848723164,41,5,36,4.07554750546197,19,5.357962859166565,36,16,11,37,15,7.767643970087498,0,27,21,34,17,32,53,18,53,18,4,8,4
-9.862244041647749,4.457477995515073,1.840160943038776,34,0.8519647798685227,6,11.939507848723164,35,4,35,4.575751616961971,16,4.741366568403149,46,10,6,33,22,6.376569896435329,0,23,24,22,13,34,60,22,49,17,3,4,4
-8.02434875634775,3.8029123936161255,1.5711649077453809,33,0.0764013319266485,5,10.079680917552793,37,4,45,4.575751616961971,1,3.170142982818581,39,12,22,7,50,4.399513879189847,0,26,16,36,9,31,28,21,45,31,3,6,1
-8.02434875634775,4.115920284583231,1.5315984642770182,27,0.0764013319266485,3,10.716494186956922,43,3,34,4.57419711466197,3,4.1933128804284205,41,19,13,14,51,5.10906991099578,0,34,18,32,11,26,37,18,46,25,4,5,3
-9.09619096904775,3.995119400304807,1.474249914579527,29,0.4158870115090564,3,10.716494186956922,40,2,45,4.092364321361971,3,4.781379620041891,31,8,15,21,42,4.127995107683164,0,33,17,36,16,37,33,18,65,16,4,2,3
-9.09619096904775,3.4749136140893717,1.068016789452827,34,0.299102780907209,3,10.34120504259648,29,2,55,4.092364321361971,13,3.837426192974239,41,1,11,27,26,2.9473132738446104,0,31,11,38,11,45,41,11,42,11,4,12,2
-7.613846109647749,3.545255191817483,1.2053216294492053,37,0.2572601626311457,9,9.914147456934986,38,3,57,3.53101788106197,13,3.51921386266605,51,12,5,32,19,3.3579773692851944,0,31,21,26,14,35,46,18,79,22,7,4,2
-7.613846109647749,3.7119366686971103,1.3585343207051073,31,0.2572601626311457,15,9.914147456934986,32,2,57,3.53101788106197,17,3.877463941401911,58,13,6,27,23,3.7570223802195857,0,29,22,19,15,28,43,19,85,22,6,7,3
-7.50892656844775,3.786327813953649,1.082159924892271,25,0.5683998147586852,10,9.812756951373936,33,5,45,3.45769854506197,23,4.275423400008903,47,15,9,29,29,3.918644462468495,0,32,20,22,9,31,40,19,74,14,5,2,3
-8.244666666447749,4.247771168796287,1.2102118336543166,25,0.2228063168690602,2,10.798963076003032,45,6,35,4.105694969861971,27,5.170785946539982,44,17,6,38,22,5.275414585756098,0,29,14,27,12,30,41,11,73,21,9,2,4
-10.01208397424775,4.75870183826129,1.7043103797792505,27,0.2228063168690602,6,12.217415272509015,40,2,42,4.586627204261971,10,6.351547728553698,40,14,10,38,17,6.508515555397875,0,25,20,30,6,32,46,15,58,27,8,8,2
-10.01208397424775,4.723808379546288,1.4933073275393716,32,0.4359748416013803,10,12.791530108196367,40,2,31,4.586627204261971,13,6.590881236889216,45,17,9,38,19,6.464685995773643,0,25,14,18,4,37,57,11,68,29,5,13,2
-8.34011388144775,4.08975464299442,1.24473398027836,38,0.2795044118144393,2,12.791530108196367,35,9,41,3.88771644596197,10,5.197013126125472,39,10,3,45,17,4.711612852676987,0,24,23,28,13,50,54,9,71,18,3,9,1
-6.16051417694775,3.5677274803743213,1.8897228244757265,35,0.2795044118144393,6,9.739109363982225,45,13,50,6.57215641536197,20,3.523368564942727,37,8,13,31,16,2.9222500877437154,0,27,8,30,2,44,41,11,65,16,2,7,2
-8.08271774354775,3.575522772201332,2.2154166518996505,30,0.6502210472435828,4,10.494225048759905,32,1,60,6.57215641536197,9,3.055732958660625,42,8,5,31,28,3.13118280064044,0,19,11,24,3,47,44,12,45,21,6,16,3
-8.101297640247749,3.917715442797759,1.830028623760068,33,0.6502210472435828,4,10.494225048759905,39,3,53,5.31215423166197,13,3.687631164554477,41,17,7,39,35,4.2201763528008325,0,14,17,29,8,45,30,11,57,28,5,7,2
-8.101297640247749,4.361839727778588,1.5721439973657478,34,0.7698299438020355,3,9.979398410384592,26,9,26,4.5197059612619706,7,4.628675540042807,37,16,22,25,37,5.32272797992554,0,22,28,33,11,33,38,11,64,28,11,3,3
