32,rv_signal_changes,6,z_signal_changes,28,16,33,4,31,30,25,37,27,rv_max,2,29,36,22,17,14,0,3,5,21,38,18,y_signal_changes,19,23,10,15,y_rms
58,0,27,33,4,5,37,21,29,18,28,6,2,8.007626545067206,6,5,7,34,4,13,2,21,15,17,2,5,30,2,46,27,3,0.9683291955292578
52,0,33,31,6,3,42,14,29,21,35,6,1,8.20042334505899,11,4,6,31,5,11,6,22,19,20,1,5,25,2,40,28,5,1.000086056038528
45,0,33,30,4,6,42,20,31,16,39,5,4,8.20042334505899,12,5,8,24,6,30,5,19,19,23,5,7,24,2,44,3,19,1.1784433848352338
47,0,36,35,5,6,38,17,27,13,19,4,3,7.989669974432003,12,4,9,31,5,27,3,19,16,24,5,7,22,4,49,3,16,1.4309267425478414
53,0,29,31,7,10,40,17,48,20,16,5,2,9.650392624466674,12,1,4,37,4,9,4,17,23,16,2,3,20,2,51,25,7,1.2699246970818927
57,0,35,30,8,10,33,19,44,22,20,9,1,9.650392624466674,14,2,1,30,5,16,5,19,30,19,1,4,23,1,49,15,10,0.96248969851744
61,0,38,32,7,7,48,17,30,10,31,6,2,9.01231338452224,11,3,6,40,5,15,6,22,30,12,4,2,25,2,37,6,8,1.0577577278139056
47,0,32,29,2,8,55,18,18,9,10,4,2,8.01994809504493,11,7,3,28,4,9,6,19,21,33,6,3,25,3,52,9,6,1.202351981864833
47,0,43,29,7,8,43,19,34,11,14,4,2,8.728353759812835,14,4,7,24,3,8,9,19,32,33,5,3,25,1,46,18,4,1.166382221488225
47,0,46,32,6,10,44,17,34,18,9,5,4,8.728353759812835,21,4,9,22,5,5,7,16,26,28,2,2,32,1,51,20,6,1.2722934231936456
38,0,34,27,3,3,50,22,26,12,36,7,1,7.980698704576183,14,7,3,29,6,19,2,24,15,28,3,12,37,4,35,11,4,1.2537064862667031
42,0,38,25,2,3,52,25,27,15,26,2,3,8.395647772200734,12,6,6,35,9,19,2,23,20,27,1,8,30,3,44,7,3,1.0577393781510689
46,0,35,25,4,5,46,18,27,19,39,3,3,8.395647772200734,11,6,3,25,7,14,6,20,19,12,2,9,22,6,46,17,7,0.9839746575171252
46,0,33,29,5,3,48,26,25,15,46,4,3,8.473349188488411,12,6,2,25,7,14,6,14,15,13,5,7,29,6,37,29,8,1.0483583548505802
51,0,30,35,2,3,47,22,27,11,23,1,2,8.473349188488411,16,7,6,30,6,11,7,16,12,21,4,7,35,2,54,29,5,1.0392651260615369
52,0,34,32,4,5,46,20,27,20,17,6,3,8.919673555517058,11,5,2,35,5,13,2,13,23,23,3,4,28,2,52,7,6,1.268817489414343
47,0,37,30,6,9,52,16,24,19,18,8,2,8.919673555517058,9,4,4,30,2,13,2,13,26,30,2,2,25,2,43,13,9,1.2505163213009738
33,0,33,35,4,9,54,21,38,15,15,4,3,8.60031736462043,13,5,4,21,5,15,8,17,25,34,1,2,30,2,53,17,6,1.1114344074068832
37,0,34,34,3,4,46,21,30,13,11,5,3,8.60031736462043,14,4,6,33,3,21,5,20,21,25,0,6,33,3,55,10,11,1.2333967601379876
36,0,36,28,6,9,47,26,15,6,34,10,6,7.817200270571211,10,2,13,29,8,21,7,22,37,21,2,7,27,1,35,9,11,1.4562312043255992
43,0,43,27,5,8,37,23,30,18,28,5,4,8.033566894736605,14,4,11,28,10,40,8,20,43,31,1,11,34,5,34,3,14,1.4188680129798077
41,0,37,31,5,10,46,20,32,22,17,1,3,8.353294349091687,12,4,5,29,8,50,5,17,26,31,3,7,40,3,45,3,12,1.00250440450582
40,0,42,32,7,9,46,21,30,19,27,5,2,8.353294349091687,8,3,8,23,9,36,2,8,29,22,2,10,32,2,51,7,13,0.8911192411655958
44,0,57,32,3,16,31,16,29,25,33,4,3,7.883309353914874,6,4,8,23,11,36,2,5,36,19,5,6,34,4,44,9,26,0.8809608489198263
44,0,31,35,2,3,47,45,36,21,35,2,5,8.297766046139206,10,5,7,28,1,27,1,18,63,25,6,0,32,2,41,10,7,1.226376191251516
40,0,53,31,4,4,53,31,37,16,12,2,3,8.620333412331382,12,4,7,20,4,20,4,26,43,38,9,0,22,4,52,10,5,1.669902005913326
