y_min,x_max,y_rms,rv_max,12,10,z_rms,y_signal_changes,35,32,21,z_max,24,16,3,x_rms,2,29,22,7,rv_signal_changes,27,34,20,rv_rms,9,4,8,36,19,z_signal_changes,0
-5.196076883638029,9.27113858757589,3.245958337681888,12.392971241091484,39,5,7.940759667061091,37,27,42,13,11.583516882952251,56,17,14,9.560967699365646,17,5,17,31,0,4,33,14,20.747685704108623,5,25,10,25,2,32,8
-5.196076883638029,8.562714538775891,2.803191728010684,13.676055213273427,38,4,9.47382098427903,37,31,43,16,12.19022177155225,49,15,21,8.733872989623212,12,6,17,32,0,3,29,18,21.010885701912933,7,26,17,16,2,33,8
-5.924272514138029,9.675109010075891,3.2319842607723177,13.676055213273427,46,2,9.46613411666814,36,27,48,18,12.19022177155225,42,12,23,8.561007007308081,14,3,18,29,0,3,30,25,21.25912538474854,5,25,6,17,3,32,7
-5.924272514138029,9.675109010075891,3.4892849763615965,12.51253495714246,44,3,7.471780396356398,37,38,41,20,10.15690227895225,57,8,18,8.64819663435932,13,6,11,28,0,12,25,15,19.609262007077326,4,17,7,12,3,28,6
-5.44624000083803,8.850784917175892,3.243614400712224,12.51253495714246,32,7,7.86444678120802,40,37,41,19,10.15690227895225,51,8,15,8.30068724530166,9,6,14,34,0,9,28,18,19.408748427221912,2,15,15,13,3,26,7
-5.74718789733803,8.850784917175892,4.272872796242064,12.541838650007376,37,7,8.657013887558543,40,23,43,14,9.83693593745225,43,12,13,8.296750348225418,15,7,17,34,0,12,33,21,21.22663703202603,5,16,9,18,3,28,7
-8.41883187953803,9.63952431587589,4.537862652491074,12.76701583449866,18,2,8.721052299855835,28,22,37,10,10.26913918095225,51,11,14,9.330216062262297,20,7,16,26,0,14,29,19,22.5891310146092,4,20,8,18,3,32,8
-8.41883187953803,9.63952431587589,2.8195602484196765,13.169266411104877,3,2,9.740335759554943,27,29,30,13,11.23785057935225,50,31,14,11.076939711098056,20,6,15,31,0,7,20,23,23.63683571907269,4,21,19,22,6,33,4
-3.60326244083803,9.533498429975891,2.365899135167667,13.169266411104877,52,14,9.302620318977157,34,24,25,16,11.23785057935225,49,12,21,10.869284434742456,19,6,14,26,0,6,23,21,22.53780388888728,5,16,21,19,2,35,7
-4.90802348163803,9.422921982675891,3.096719597194439,12.857857797070446,47,2,8.2233378543604,33,19,38,16,12.04665999525225,47,14,21,9.226614626980767,14,5,11,37,0,1,28,18,20.546672078535597,3,19,13,21,4,33,7
-4.90802348163803,7.2769017794758915,2.7833484650829985,12.857857797070446,43,4,9.483857264039257,34,30,39,17,12.04665999525225,43,11,17,8.984996881801088,7,6,15,36,0,1,25,23,21.252202610923323,12,17,33,26,3,29,5
-4.876847262838029,7.415337501975892,2.7833057729850457,12.640909518859235,34,7,9.111750352609336,31,32,31,20,11.59508419315225,41,13,22,8.290860120760515,8,8,20,36,0,4,35,21,20.185916246354903,14,12,27,21,5,33,2
-4.59496521953803,8.70955200227589,3.4488134383532305,12.525950846978652,34,14,7.805860639329725,32,29,29,18,11.65369585335225,50,12,13,8.04542611194166,19,8,17,23,0,5,42,16,19.30010018962461,3,28,22,18,2,32,4
-4.78950099973803,9.39432427687589,3.554363564910557,14.128210563155053,48,13,10.101596228356746,34,28,24,23,12.34087583265225,54,13,21,9.75542824326418,16,8,16,28,0,3,36,16,23.41138803653148,3,26,17,15,3,30,7
-4.78950099973803,9.39432427687589,3.2752156644583,14.128210563155053,58,9,10.459145290087992,32,30,20,25,12.34087583265225,46,17,19,10.212904492468605,18,6,15,31,0,5,33,17,23.947265447014903,6,22,12,13,2,33,8
-5.92570748783803,10.67885631197589,3.200863497637177,12.50337216470291,21,1,8.52657946293509,33,31,25,16,10.651669101552253,50,12,17,10.2954135049425,17,7,10,27,0,9,21,22,22.022856465514764,2,28,8,14,4,33,10
-5.92570748783803,10.67885631197589,3.3593234022249048,12.50337216470291,41,1,9.615850195805814,37,31,33,15,10.91456336465225,54,14,17,9.39247563137584,18,6,11,23,0,7,17,24,22.36764922940656,2,27,4,20,5,29,7
-6.009821746538029,10.109410913075893,3.66050364909606,12.56313267634443,41,3,9.514204394014325,36,25,35,20,11.538874126152251,45,16,20,8.564152274908897,13,6,12,26,0,5,21,21,21.738860318019302,3,27,6,22,6,28,5
-6.43764269953803,10.109410913075893,4.309709311069417,12.919604245081526,40,6,8.154697154816919,38,21,45,18,11.538874126152251,46,12,16,8.389940996403865,13,5,7,21,0,4,25,19,20.854347462290196,3,27,7,13,2,28,6
-6.43764269953803,9.56839867727589,4.329391218540253,15.23046873056245,44,5,8.3101002693571,40,19,39,17,9.89105460665225,52,10,17,8.69722896889664,10,5,12,39,0,13,31,17,21.33672045679399,3,20,8,14,2,27,3
-5.0795169069380295,9.56839867727589,3.739713372793168,15.23046873056245,43,5,9.017399348266736,39,21,37,18,10.911336310652253,40,10,21,9.283540000688076,13,6,16,40,0,11,41,18,22.04065272174799,6,20,10,10,6,30,1
-4.08083831003803,9.50393093417589,3.1315485010854798,12.72058536321012,38,11,8.348285602679418,40,35,40,17,10.911336310652253,49,6,21,8.748506930311317,17,9,13,29,0,5,21,15,20.22834103407622,5,20,14,19,4,34,3
-5.623681557038029,7.957556724675892,3.024877948677168,13.77782140345213,32,2,8.06931893775207,41,29,40,14,10.87623161245225,49,11,16,9.547214488524242,9,5,17,45,0,7,29,22,20.641411374953478,9,18,30,12,4,33,4
-5.623681557038029,9.991655606475891,3.39338150385538,13.77782140345213,33,7,8.594629054510728,37,23,27,13,9.89867462375225,48,15,19,9.67802920169738,13,9,17,30,0,13,29,22,21.66603976006349,5,18,12,8,1,29,4
-6.18147377423803,9.991655606475891,3.5602509707438044,12.796878679117528,33,2,8.0584064482628,31,22,29,13,9.87272344395225,53,21,16,8.880416722755589,22,10,14,22,0,10,21,17,20.49907414176219,5,26,8,20,3,29,7
-6.18147377423803,8.68137328407589,3.5866719502564712,13.540392681919942,49,3,7.745036744516227,36,23,35,13,10.25372370085225,51,24,18,9.260734984318558,14,6,15,37,0,10,26,16,20.592443679091247,4,15,19,12,4,28,6
