window,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_abs_diff,y_abs_diff,z_abs_diff,mean_res_accel,x_tm_peaks,y_tm_peaks,z_tm_peaks,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,user
47,0.013393123514500003,-0.0003781900660000154,-0.016967094369000024,0.865092788556813,0.8244288796089932,1.342847055813554,1.4988010832439614e-17,1.4988010832439614e-17,1.4988010832439614e-17,1.6132863050896762,1275.0,3825.0,3725.0,3,3,13,23,30,59,47,15,4,3,6,10,15,27,42,43,31,19,4,3,4,14,13,17,28,64,28,19,7,6,10
48,0.006386386654500003,-0.006026818253999997,0.0038769123720000017,0.9970226170190337,0.8260131184495333,1.4874544740771014,2.581268532253489e-17,2.581268532253489e-17,2.581268532253489e-17,1.7699436776873199,25.0,4425.0,4400.0,5,3,4,18,26,37,65,32,8,2,9,12,11,37,48,25,29,23,3,3,6,10,14,15,29,58,29,27,6,6,10
49,-0.013260582216999994,3.015995000199556e-07,-0.010090141568000012,1.0370774137152796,0.8219521491942909,1.5186668164213624,9.159339953157542e-18,9.159339953157542e-18,9.159339953157542e-18,1.7770608035233548,625.0,1275.0,1150.0,6,1,8,29,36,40,62,14,1,3,8,12,15,55,48,30,27,2,0,3,2,4,18,13,22,56,49,23,6,7,10
50,-0.013721912342499996,0.004636654054000001,0.0035634977195000304,0.8930940277986094,0.8819599260811533,1.4509846477054795,7.494005416219807e-18,7.494005416219807e-18,7.494005416219807e-18,1.7132063338749717,625.0,4850.0,4825.0,2,0,12,25,47,57,41,12,1,3,4,10,18,32,47,49,30,4,3,3,1,3,15,16,21,63,45,26,3,7,10
51,-0.0049856843404999995,0.004198774471,0.006140380598500013,0.7741648069970326,0.9087832602008427,1.350129664841073,5.551115123125783e-18,5.551115123125783e-18,5.551115123125783e-18,1.6182710792045245,1600.0,3675.0,3775.0,1,3,11,15,21,39,46,37,19,8,6,7,19,27,34,51,32,16,6,2,1,3,14,16,27,61,37,33,3,5,10
52,0.003172682629000006,-0.0115631485855,-0.014154181184499988,0.8107395993054788,0.841211544747809,1.412613874963213,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.628612272158164,1600.0,25.0,2675.0,3,1,10,16,29,30,41,34,27,9,5,8,15,27,53,43,28,16,3,2,3,3,15,20,36,60,29,27,4,3,10
53,0.012356436118,-0.014206243592500018,-0.010495474283499985,0.9109652406474799,0.7704712613593983,1.5188520363902587,3.219646771412954e-17,3.219646771412954e-17,3.219646771412954e-17,1.7096873673806092,1250.0,1275.0,2650.0,3,5,0,9,22,27,42,41,33,18,4,8,9,11,21,45,41,23,22,16,2,5,17,19,31,66,33,18,4,5,10
54,-0.005628066894000009,-0.007710202814499994,-0.005850638856999983,0.9868509880364303,0.7934334060057033,1.476139723488618,1.2212453270876722e-17,1.2212453270876722e-17,1.2212453270876722e-17,1.7418199131089083,1900.0,3800.0,500.0,3,8,5,15,31,34,50,30,23,1,8,5,7,10,19,30,48,29,26,18,1,4,19,19,32,65,35,17,5,3,10
55,-0.001862832631999997,0.002089313618499981,-0.000986338666999978,0.9333134233944127,0.8213645970149,1.3723077486080422,1.1657341758564143e-17,1.1657341758564143e-17,1.1657341758564143e-17,1.677743803207362,25.0,3450.0,2975.0,3,7,10,11,27,38,56,35,12,1,7,7,8,26,45,38,42,18,3,6,7,17,11,21,40,47,25,19,8,5,10
56,0.00373582718249999,0.006683436307499973,0.005731507426499998,0.9593480430308673,0.8682810508122832,1.4129526651245923,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,1.717901614012809,25.0,25.0,475.0,3,7,6,13,24,33,60,44,6,4,2,3,11,14,38,42,45,28,11,6,1,9,23,8,32,63,29,26,5,4,10
