20,19,3,25,z_abs_diff,y_abs_diff,4,16,y_std,x_tm_peaks,x_std,1,18,y_tm_peaks,13,23,10,26,21,15,14
10,9,17,35,8.881784197001254e-18,8.881784197001254e-18,24,63,1.4928108578132837,25.0,1.2323307698787027,5,9,4300.0,15,46,5,40,13,46,12
10,5,18,45,2.969846590872294e-17,2.969846590872294e-17,25,69,1.5031931335482005,25.0,1.2474431187407398,2,17,2525.0,11,35,8,24,16,18,13
12,9,14,41,3.4416913763379846e-17,3.4416913763379846e-17,29,61,1.548127129661209,1050.0,1.155162527132414,2,17,575.0,10,40,9,19,16,26,11
11,8,13,41,1.7208456881689926e-17,1.7208456881689926e-17,19,53,1.6210048048861685,25.0,1.3238177466365333,5,12,4600.0,13,43,11,35,14,48,13
5,4,12,23,3.219646771412954e-17,3.219646771412954e-17,22,56,1.6716318947402955,25.0,1.4903570913083262,8,7,1300.0,13,39,6,51,13,58,15
3,5,18,28,4.385380947269369e-17,4.385380947269369e-17,27,55,1.6708491183538985,25.0,1.3697376460281383,2,4,2100.0,11,38,4,45,13,61,12
7,4,11,36,1.1102230246251566e-17,1.1102230246251566e-17,29,45,1.6264442216974304,1050.0,1.366335467300747,3,7,4650.0,14,34,8,33,20,71,13
5,4,14,35,3.3306690738754695e-18,3.3306690738754695e-18,18,57,1.7051993432071788,25.0,1.2306344665558395,1,12,4550.0,17,41,4,27,15,55,9
7,5,25,30,8.881784197001254e-18,8.881784197001254e-18,45,65,1.7593098292926548,1050.0,1.0633913850993006,12,16,3700.0,10,43,5,35,14,31,13
9,6,27,28,2.3869795029440865e-17,2.3869795029440865e-17,43,71,1.7067153871254244,3175.0,1.1198956556164894,12,12,1675.0,10,38,6,45,12,43,14
11,6,23,28,6.938893903907227e-17,6.938893903907227e-17,45,69,1.7521394627999365,25.0,1.0841860712858926,7,16,4175.0,6,44,9,42,11,37,15
10,5,23,32,4.163336342344337e-18,4.163336342344337e-18,47,58,1.837366034446056,25.0,1.049158379247197,5,12,3975.0,12,41,10,49,8,40,14
9,4,25,28,0.0,0.0,53,47,1.7035247090841106,25.0,1.1208148717813071,12,9,4225.0,13,32,8,47,8,55,16
9,9,24,27,4.843347944927246e-17,4.843347944927246e-17,46,64,1.6344578267789545,4225.0,1.1535190977146066,10,18,650.0,10,44,4,41,7,28,10
11,7,24,42,7.771561172376098e-18,7.771561172376098e-18,41,60,1.803599737185845,25.0,1.1199819115881144,10,24,3800.0,8,47,9,33,12,25,11
