9,16,21,22,x_tm_peaks,mean_res_accel,15,10,25,23,x_abs_diff,3,17,13,2,z_tm_peaks,24,6,26,y_abs_diff,z_std
9,23,15,13,25.0,4.3065713507644166,30,19,41,33,2.886579864025407e-17,20,6,33,13,1250.0,56,43,15,2.886579864025407e-17,2.723053438603313
7,24,20,14,25.0,4.242251995013583,24,17,60,10,4.440892098500626e-18,17,6,35,15,3775.0,47,44,22,4.440892098500626e-18,2.5866244177746123
3,26,19,15,1225.0,4.226329089240269,33,2,51,13,5.773159728050814e-17,18,16,37,20,1150.0,64,53,17,5.773159728050814e-17,2.57591146019153
3,23,7,20,1225.0,4.224214635343044,26,2,62,11,2.4424906541753444e-17,15,21,36,18,3675.0,50,51,29,2.4424906541753444e-17,2.838848966925493
11,18,17,14,25.0,4.10256807164171,18,3,68,11,5.995204332975846e-17,15,22,47,8,3650.0,49,49,18,5.995204332975846e-17,3.141995107129382
16,16,23,10,2125.0,4.241169521790243,18,6,74,15,1.3322676295501878e-16,12,18,45,11,3300.0,40,42,18,1.3322676295501878e-16,3.2720931796467925
19,21,20,11,3725.0,4.252552755847312,22,5,68,16,4.440892098500626e-18,8,14,44,8,2575.0,45,36,20,4.440892098500626e-18,3.1590680065707435
5,31,5,14,25.0,4.619886270935417,30,6,67,21,1.121325254871408e-16,12,18,35,10,1100.0,22,43,44,1.121325254871408e-16,3.441623295511117
7,30,5,16,1650.0,4.7546745618913455,32,4,67,22,4.440892098500626e-18,17,20,35,9,3575.0,19,36,46,4.440892098500626e-18,3.5098933914565587
10,24,18,18,1150.0,4.948567450813565,36,6,44,34,1.3322676295501878e-17,14,20,32,5,1100.0,51,45,9,1.3322676295501878e-17,3.4842632673137794
8,28,22,14,1150.0,4.880023170487422,37,6,47,26,5.88418203051333e-17,15,15,34,6,2300.0,58,44,11,5.88418203051333e-17,3.495595950714284
12,42,19,11,1175.0,4.5583159769141375,36,1,56,18,6.88338275267597e-17,14,22,27,7,3825.0,55,44,18,6.88338275267597e-17,3.3013728368210464
5,39,12,13,1225.0,4.664217944063453,42,1,28,36,8.881784197001254e-18,19,19,25,10,1250.0,71,41,7,8.881784197001254e-18,3.531998121182453
6,26,15,12,1225.0,4.572094928354007,36,10,25,35,4.440892098500626e-17,23,17,22,4,3525.0,79,52,2,4.440892098500626e-17,3.478701613226181
10,28,20,10,1175.0,4.511536046701113,28,15,26,30,8.65973959207622e-17,13,27,23,7,3550.0,79,67,6,8.65973959207622e-17,3.2497859082410456
1,24,18,10,375.0,4.149175731240461,37,7,37,32,2.331468351712829e-17,20,23,33,7,4275.0,69,52,9,2.331468351712829e-17,2.989957171635226
5,25,14,9,1225.0,3.988790903799404,38,5,28,37,3.219646771412954e-17,21,21,32,6,1150.0,71,41,8,3.219646771412954e-17,2.8741610953106624
6,19,18,12,1225.0,4.227015059434319,31,6,39,27,1.1546319456101628e-16,21,22,34,10,3650.0,70,42,6,1.1546319456101628e-16,3.044928129611196
12,22,16,10,25.0,4.27822749438195,32,2,44,31,4.440892098500626e-18,21,18,31,12,4400.0,65,44,4,4.440892098500626e-18,3.04570078350437
