6,23,9,25,z_tm_peaks,y_mean,x_tm_peaks,14,12,y_std,z_std,x_abs_diff,y_abs_diff,z_abs_diff,0,3,x_mean,18,17,20,16
43,61,5,7,3425.0,0.0031298657274999,25.0,17,65,1.3983890660419207,2.247250067367049,2.886579864025407e-17,2.886579864025407e-17,2.886579864025407e-17,10,17,-0.0532990667299999,5,7,16,6
39,52,9,4,4375.0,-0.0074167670019999,3725.0,19,64,1.4248956643657569,2.319652553914599,1.609823385706477e-17,1.609823385706477e-17,1.609823385706477e-17,2,15,-0.0157665128354999,9,6,20,7
32,32,12,66,3050.0,-0.0502148353139999,2425.0,24,61,1.3612679019633764,2.4974741852685125,4.996003610813205e-17,4.996003610813205e-17,4.996003610813205e-17,2,21,-0.0047486353464999,7,6,2,12
30,35,9,47,1875.0,-0.030793507645,1225.0,24,58,1.2912579901510612,2.476234015050993,2.1094237467877975e-17,2.1094237467877975e-17,2.1094237467877975e-17,9,21,0.0241624186314999,6,5,2,12
37,64,10,9,4625.0,0.0082531107744999,1200.0,21,61,1.3816168072381616,2.3081481810248303,7.105427357601002e-17,7.105427357601002e-17,7.105427357601002e-17,13,15,0.0342021115945,5,7,17,4
32,50,10,18,2300.0,-0.0279279482884999,2425.0,17,61,1.3964112654888254,2.2963487600517944,1.1324274851176594e-16,1.1324274851176594e-16,1.1324274851176594e-16,6,23,0.01596866326,6,5,18,5
33,52,13,19,4750.0,-0.0574619324509999,3950.0,10,60,1.4166543295773384,2.243851001614247,1.9984014443252817e-17,1.9984014443252817e-17,1.9984014443252817e-17,3,17,-0.0564360509145,5,3,16,7
35,48,14,17,25.0,-0.03067964373,1575.0,23,67,1.4627788111504192,2.2812099445404947,2.220446049250313e-17,2.220446049250313e-17,2.220446049250313e-17,4,15,-0.0157405448659999,4,8,12,7
33,47,22,17,3625.0,0.0073878741039999,25.0,28,62,1.3733391323304198,2.286485526954214,1.942890293094024e-17,1.942890293094024e-17,1.942890293094024e-17,4,13,0.0523191239189999,6,8,19,7
39,51,7,28,4350.0,-0.0100146632439999,1175.0,24,51,1.3475024182820896,2.240493447045017,4.329869796038111e-17,4.329869796038111e-17,4.329869796038111e-17,2,16,-0.0160562583284999,5,7,20,6
41,48,5,15,1225.0,-0.0214229798365,2375.0,6,57,1.5396577782432597,2.4354216171914325,2.775557561562892e-17,2.775557561562892e-17,2.775557561562892e-17,4,23,-0.0281122690384999,1,8,19,9
39,50,5,15,1225.0,0.025616310405,1775.0,4,55,1.5456409343217574,2.4635299677794484,4.440892098500626e-17,4.440892098500626e-17,4.440892098500626e-17,9,18,-0.0070700528014999,4,6,19,7
34,37,6,41,4425.0,0.041149059788,25.0,6,56,1.338983861735919,2.4058229386213177,7.771561172376098e-18,7.771561172376098e-18,7.771561172376098e-18,2,17,0.000479601059,3,7,2,8
29,49,8,39,4875.0,0.0504147462625,25.0,23,48,1.2809075397426977,2.4421773064500307,5.3845816694320085e-17,5.3845816694320085e-17,5.3845816694320085e-17,5,16,0.0315738582805,5,8,3,8
29,56,20,25,3050.0,0.0581681073959999,2450.0,17,43,1.3647158252878824,2.293290480043819,4.6629367034256567e-17,4.6629367034256567e-17,4.6629367034256567e-17,3,17,0.051433995238,6,6,9,8
35,54,12,32,4275.0,0.007801114751,950.0,24,59,1.3789230474480412,2.297622680077255,6.439293542825906e-17,6.439293542825906e-17,6.439293542825906e-17,3,14,0.0047316613495,6,5,4,7
32,56,11,31,4225.0,-0.0076370682689999,950.0,28,60,1.4430604911740808,2.26529163775022,5.023759186428834e-17,5.023759186428834e-17,5.023759186428834e-17,3,16,-0.0749389637474999,7,4,4,6
22,50,22,33,3100.0,0.0107389543524999,900.0,16,54,1.4013220401194997,2.274924373719788,6.550315845288423e-17,6.550315845288423e-17,6.550315845288423e-17,2,19,-0.0157992429875,7,4,2,5
27,46,12,28,3925.0,-0.0175882098414999,2400.0,13,47,1.3915303733507105,2.267196521154045,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2,21,0.0451414357734999,5,4,2,5
33,40,6,35,3375.0,-0.040198604317,3675.0,11,39,1.413709278339636,2.341669661413347,5.662137425588297e-17,5.662137425588297e-17,5.662137425588297e-17,6,22,0.0302418150965,5,5,2,3
33,44,7,39,1100.0,-0.0323102137134999,525.0,30,42,1.5348801479057632,2.401761359965902,3.3306690738754695e-18,3.3306690738754695e-18,3.3306690738754695e-18,5,19,0.015860764792,7,6,2,6
36,49,13,19,4175.0,-0.0259536581669999,1200.0,27,65,1.6915056395270625,2.291910559396712,4.884981308350689e-17,4.884981308350689e-17,4.884981308350689e-17,3,19,-0.0615917837299999,7,5,20,6
29,51,12,16,3625.0,-0.0362640724695,1200.0,9,42,1.5932828717817664,2.5183374902146465,2.220446049250313e-18,2.220446049250313e-18,2.220446049250313e-18,4,17,-0.0520778983329999,3,4,2,10
35,49,7,20,2475.0,-0.003842801453,1200.0,16,55,1.3874315411724794,2.783944539858143,8.881784197001254e-18,8.881784197001254e-18,8.881784197001254e-18,5,19,0.0397255719979999,4,5,3,10
38,37,6,31,2475.0,0.0156827307724999,1200.0,15,79,1.454394210262982,2.617726237490301,5.2180482157382354e-17,5.2180482157382354e-17,5.2180482157382354e-17,6,22,0.0443978374279999,2,5,1,7
32,52,8,10,3450.0,-0.0276582785095,1200.0,9,82,1.5504680498163912,2.4494201962974067,2.886579864025407e-17,2.886579864025407e-17,2.886579864025407e-17,6,19,-0.015238703302,3,4,29,8
43,46,5,14,4750.0,0.0376955745764999,25.0,8,52,1.5268682840928685,2.5795953543525005,4.5519144009631415e-17,4.5519144009631415e-17,4.5519144009631415e-17,9,19,-0.0152724872735,3,3,14,8
46,51,6,9,25.0,0.1298915531369999,25.0,5,57,1.5898608440362811,2.5210138331147998,1.7763568394002505e-17,1.7763568394002505e-17,1.7763568394002505e-17,7,16,0.031252101511,2,5,17,10
34,35,10,36,725.0,0.0376882231929999,2300.0,19,69,1.5830274299436295,2.506571076271233,7.771561172376094e-17,7.771561172376094e-17,7.771561172376094e-17,2,24,-0.0382720448435,12,6,4,3
38,44,14,26,4250.0,-0.0370528200554999,300.0,19,84,1.4540021293516376,2.506231443079866,1.071365218763276e-16,1.071365218763276e-16,1.071365218763276e-16,2,23,-0.0367470524884999,8,9,3,3
35,46,13,39,4800.0,-0.038720022855,1575.0,14,61,1.4023077978643523,2.5280620509619767,3.4416913763379846e-17,3.4416913763379846e-17,3.4416913763379846e-17,6,20,0.0668239622335,9,7,2,5
33,37,11,46,4225.0,-0.0378883106139999,25.0,14,59,1.4475143877229228,2.52212331714928,3.1086244689504386e-17,3.1086244689504386e-17,3.1086244689504386e-17,6,14,0.0251202407849999,7,7,2,3
30,54,14,23,4125.0,-0.0031302727775,25.0,11,53,1.4417079419015184,2.428988361614117,4.6629367034256567e-17,4.6629367034256567e-17,4.6629367034256567e-17,7,16,-0.0643900498215,7,6,8,3
34,52,12,17,1175.0,-0.016535388723,2350.0,13,69,1.592912059056585,2.4909069176005776,2.6645352591003762e-17,2.6645352591003762e-17,2.6645352591003762e-17,2,13,-0.0082132252125,4,5,8,5
37,43,9,18,4775.0,-0.0422971983105,2350.0,13,73,1.5809055182533112,2.6155512016331017,3.4416913763379846e-17,3.4416913763379846e-17,3.4416913763379846e-17,2,13,0.0322439415629999,2,2,10,9
33,53,4,15,4225.0,-0.038324840457,25.0,15,63,1.4904418578501852,2.583363345432095,3.3306690738754695e-18,3.3306690738754695e-18,3.3306690738754695e-18,8,17,-0.0311924271985,2,5,9,9
34,55,11,11,25.0,-0.0079750118525,2125.0,21,68,1.570583776670116,2.419948510010784,2.6922908347160045e-17,2.6922908347160045e-17,2.6922908347160045e-17,5,20,-0.025646619258,6,3,19,4
