25,mean_res_accel,24,3,17,9,10,23,22,19,5,x_std,4,y_std,z_abs_diff,z_mean,y_abs_diff,21,y_tm_peaks,12,7
52,3.123539194905863,25,26,51,1,2,21,12,17,46,1.456374145834041,50,1.2741161279175088,3.4416913763379846e-17,0.0156304064225,3.4416913763379846e-17,17,25.0,3,19
51,3.2151230825987294,41,22,43,1,1,24,9,14,39,1.6883572790082737,45,1.266938842838384,2.220446049250313e-18,-0.0440037866064999,2.220446049250313e-18,18,950.0,3,21
59,3.1158396950524825,44,18,46,6,5,21,7,20,42,1.5954820807242869,26,1.1832279651320272,1.5543122344752193e-17,0.0696397676574999,1.5543122344752193e-17,12,3125.0,2,30
54,3.176529522741682,33,26,53,6,2,14,14,13,29,1.4675243671958884,36,1.3326976689053414,9.992007221626408e-18,-0.0489410052904999,9.992007221626408e-18,17,4825.0,6,27
53,3.3406573525164225,31,40,52,4,3,19,13,11,28,1.578499209111215,34,1.4984998598718966,1.3877787807814457e-17,-0.0216467271795,1.3877787807814457e-17,21,2525.0,3,26
51,3.308448007415146,41,42,51,5,2,25,14,8,26,1.7475078148527712,39,1.3535362953793346,1.1102230246251566e-17,0.0640454532759999,1.1102230246251566e-17,20,1475.0,1,17
52,3.1460565852913,44,35,44,3,2,25,15,5,29,1.6422323520644169,41,1.1169316258839104,7.771561172376098e-18,-0.0222309165859999,7.771561172376098e-18,16,4250.0,7,18
49,2.9645594614932502,55,29,48,8,2,21,11,6,25,1.3693442327735914,24,1.1845444692920153,1.7763568394002505e-17,0.044892681968,1.7763568394002505e-17,12,75.0,6,25
42,3.15879080261743,59,35,59,7,1,21,15,20,23,1.4119359855028533,32,1.3799986650784657,4.1078251911130785e-17,-0.0996440182449999,4.1078251911130785e-17,13,4450.0,3,30
42,3.40297372391818,52,22,66,13,2,19,16,28,30,1.580175526830086,39,1.4826933158329,6.661338147750939e-18,0.01128508092,6.661338147750939e-18,12,200.0,2,19
