5,x_mean,19,3,20,x_abs_diff,14,25,x_std,y_mean,8,z_abs_diff,21,11,27,1,15,26,23,mean_res_accel,6
25,-0.0010361591024999,2,29,3,1.1379786002407854e-17,13,25,1.6867226413859022,-0.037952467935,21,1.1379786002407854e-17,35,36,3,6,6,3,50,2.962600220695229,35
25,-0.0187981920644999,5,24,3,4.440892098500626e-18,20,53,1.6667730776269225,-0.0137581736665,26,4.440892098500626e-18,30,30,3,8,9,3,37,2.9323440169052986,36
31,-0.0463969330045,4,21,6,1.9984014443252817e-17,49,43,1.763699527422714,0.0053436904375,24,1.9984014443252817e-17,30,17,3,16,11,5,39,2.947520892371582,32
36,0.0315529092565,2,28,4,1.6653345369377347e-17,58,32,1.6668711604739317,-0.0237202102484999,11,1.6653345369377347e-17,33,15,2,17,16,7,38,2.852176369918181,30
49,0.0153510048114999,2,35,2,9.436895709313833e-18,60,59,1.3624768279462145,-0.0016982230404999,3,9.436895709313833e-18,1,15,6,15,19,17,24,2.7993933182878665,28
41,0.0098253075215,6,37,2,6.661338147750939e-18,61,57,1.1529696821754565,0.0510611814805,3,6.661338147750939e-18,4,14,5,16,13,20,18,2.74205624443545,21
30,-0.0129274385179999,1,23,5,3.1086244689504386e-17,44,42,1.1108670699083472,0.0093810259985,3,3.1086244689504386e-17,28,17,2,16,13,7,41,2.6336530358522685,41
35,0.0152431342095,3,17,6,1.6653345369377347e-17,37,41,1.166382165841468,-0.0295094372839999,13,1.6653345369377347e-17,32,21,1,13,10,2,55,2.660312868616444,41
32,-0.0091783932929999,3,12,17,1.1657341758564145e-17,36,34,1.2484845106559517,-0.0056917048215,15,1.1657341758564145e-17,24,28,0,12,9,0,57,2.676146895807008,25
29,-0.0197736922764999,4,17,18,4.996003610813205e-17,65,29,1.260707138551982,-0.0087246579789999,10,4.996003610813205e-17,29,17,0,12,18,4,51,2.7103751277622057,33
33,0.0202323762225,2,26,32,2.331468351712829e-17,58,20,1.1653387557578827,-0.025185417588,9,2.331468351712829e-17,18,20,3,12,16,5,49,2.764688667813815,40
35,0.0131490889715,3,23,9,1.6653345369377347e-17,31,38,1.1548296935522824,0.0492755257194999,6,1.6653345369377347e-17,34,21,2,13,11,3,54,2.756280045083347,38
30,-0.0218287205819999,4,25,6,1.1657341758564145e-17,34,36,1.2458328670646366,0.0293261639139999,9,1.1657341758564145e-17,37,24,3,15,9,3,62,2.694072842759417,32
27,0.0025589549084999,4,19,6,4.7462034302725435e-17,36,39,1.1775270857909266,-0.0351752781079999,24,4.7462034302725435e-17,32,22,2,13,7,3,50,2.6385855073170035,44
28,-0.0024014487949999,3,14,10,2.886579864025407e-17,39,51,1.2431089742994776,-0.0050658508244999,21,2.886579864025407e-17,26,22,2,11,11,3,35,2.692014688159958,46
29,-0.014236603177,3,13,9,1.1102230246251566e-17,54,53,1.3055461647856033,0.0059171637469999,19,1.1102230246251566e-17,29,19,4,12,11,9,25,2.729418623265963,43
30,0.0108292362544999,4,15,4,4.85722573273506e-18,46,39,1.2876643250541062,-0.022922502168,4,4.85722573273506e-18,41,16,4,6,12,2,48,2.806316496938781,43
40,0.0286664768859999,3,23,6,2.220446049250313e-17,23,30,1.6137753410892102,0.005046182119,4,2.220446049250313e-17,38,25,6,13,14,0,52,2.887038542330066,40
35,-0.0034050938214999,2,29,6,5.440092820663267e-17,25,51,1.83757661186071,0.0429982547254999,7,5.440092820663267e-17,24,38,5,11,10,7,36,2.9460275714457267,40
30,-0.0132108376085,4,22,3,1.6653345369377347e-17,31,46,1.7001143559334493,0.0162845811665,25,1.6653345369377347e-17,32,37,3,9,12,6,44,2.903519887091789,40
32,0.0384425824109999,7,26,33,1.9984014443252817e-17,30,12,1.5804031741942757,-0.024591268475,18,1.9984014443252817e-17,17,38,3,7,10,0,45,2.786134953811734,38
29,-0.062786814813,2,26,3,3.885780586188048e-17,17,48,1.6832671921170248,-0.048132465077,17,3.885780586188048e-17,29,52,3,11,5,7,46,2.8831330309226133,39
26,-0.0190922940854999,2,26,6,6.938893903907228e-18,19,38,1.7239067923012728,-0.0048674463895,18,6.938893903907228e-18,33,38,2,11,3,10,45,3.014536418331468,37
27,0.0612031405285,4,19,20,2.997602166487923e-17,18,34,1.6310498045333304,-0.0117864219619999,23,2.997602166487923e-17,30,36,2,5,4,9,48,3.0817621965600432,34
34,0.028186474351,5,22,26,3.552713678800501e-17,20,28,1.6492284176516006,0.0535822148459999,15,3.552713678800501e-17,19,44,3,5,6,6,52,3.1072906894535413,45
