4,11,15,25,y_mean,x_std,y_std,z_abs_diff,z_std,x_abs_diff,14,19,0,2,5,x_tm_peaks,y_tm_peaks,16,12,22,9
30,41,13,52,0.025489236289,2.8894973739516776,1.8413598140909653,2.220446049250313e-18,3.120631055661628,2.220446049250313e-18,32,3,9,15,30,25.0,1200.0,13,40,12,8
17,17,13,49,0.0544561006435,2.9917122551718416,2.0504429596803844,2.220446049250313e-18,3.236894966204993,2.220446049250313e-18,42,4,13,15,22,1175.0,3600.0,7,47,14,19
23,20,12,30,-0.043401962566,2.6077823852995534,1.921193510867773,5.0515147620444624e-17,3.2386978826801216,5.0515147620444624e-17,41,2,9,19,32,2825.0,3575.0,8,41,14,5
23,29,12,38,-0.1242589694204999,2.3896752930136502,1.909997344514181,9.700573677662306e-17,3.479061742482324,9.700573677662306e-17,35,4,7,12,37,25.0,4350.0,5,46,14,4
28,32,13,46,0.0612481333204999,2.609236182666673,2.057129973299515,1.176836406102666e-16,3.571620076492452,1.176836406102666e-16,33,4,2,6,22,1200.0,75.0,7,43,14,17
20,30,17,57,0.130853192248,2.784536299110884,1.9687796050092563,1.509903313490213e-16,3.510974891916314,1.509903313490213e-16,40,9,3,5,25,2350.0,3550.0,5,39,14,26
17,24,18,51,0.0193190830924999,2.8330565414412376,1.9828519360765973,2.6645352591003762e-17,3.4740002855832346,2.6645352591003762e-17,35,8,5,8,28,1175.0,1600.0,8,42,12,28
24,25,16,57,-0.032039732326,2.82339508077275,2.0350237321729714,8.215650382226157e-17,3.3857252735739785,8.215650382226157e-17,31,8,6,7,24,725.0,1125.0,9,42,13,18
23,37,12,66,-0.0779464895014999,2.6736286022936264,2.1193809660536056,3.774758283725533e-17,3.464247843212436,3.774758283725533e-17,26,8,5,9,22,725.0,3450.0,4,42,12,8
25,37,12,46,-0.029855052697,2.648519602234015,2.0329769864850538,1.5543122344752193e-17,3.3640610116596257,1.5543122344752193e-17,27,7,6,15,24,25.0,1575.0,7,43,14,4
30,21,23,21,0.0022145839429999,2.9178485487923247,2.025645162929333,1.5543122344752193e-17,3.211730152888029,1.5543122344752193e-17,39,4,10,17,36,25.0,1250.0,14,42,10,2
42,21,19,50,0.0248776285805,2.573570277676495,1.979195287537648,4.6490589156178425e-17,3.074417635253419,4.6490589156178425e-17,34,4,7,13,41,25.0,2450.0,9,42,17,2
33,21,13,59,0.0427107077994999,2.027269558786976,1.8690196577383709,1.0269562977782698e-17,2.616522053250768,1.0269562977782698e-17,26,3,3,8,45,400.0,2600.0,9,53,16,7
30,33,13,39,0.0057680190104999,2.2596210164482384,1.8350760137483133,1.7763568394002505e-17,2.477420553930975,1.7763568394002505e-17,29,2,3,5,37,1375.0,1275.0,9,52,18,10
27,43,10,35,-0.0136896479999999,2.7477674083541865,1.9756968281044849,4.440892098500626e-18,2.9135649931600387,4.440892098500626e-18,26,1,3,5,30,1300.0,1275.0,5,54,20,10
29,42,8,29,-0.0218234661944999,2.7793932279402256,2.020336757893683,1.7430501486614956e-16,3.0542146202119644,1.7430501486614956e-16,33,1,11,27,31,25.0,2525.0,7,52,14,4
31,17,34,32,-0.0424166412609999,2.346138166378453,1.7900690687323937,8.548717289613706e-17,2.8738548711980214,8.548717289613706e-17,36,6,7,26,42,25.0,3650.0,15,36,10,2
20,16,33,28,-0.0533558227429999,2.2964842343542946,1.712769491063463,8.104628079763643e-17,3.0116398140379985,8.104628079763643e-17,38,4,4,13,25,1200.0,3600.0,7,39,12,18
23,25,16,27,0.048155915394,2.5177072407147585,1.7829849373871234,6.439293542825906e-17,3.0351078563273823,6.439293542825906e-17,30,5,5,14,24,25.0,25.0,11,47,14,19
17,17,21,33,0.133888541881,2.731776031059027,2.109915679961781,3.1086244689504386e-17,3.04326273324062,3.1086244689504386e-17,42,6,10,12,27,25.0,3600.0,7,40,13,23
