y_tm_peaks,y_std,z_abs_diff,22,9,x_abs_diff,18,1,y_abs_diff,4,24,7,z_std,mean_res_accel,x_tm_peaks,z_mean,19,23,6,0,10
25.0,2.341449425821549,1.0880185641326534e-16,13,7,1.0880185641326534e-16,16,28,1.0880185641326534e-16,19,64,31,4.434636925089306,6.285343913141763,3750.0,-0.1666521338659999,7,20,18,17,2
25.0,2.8666887007356974,5.10702591327572e-17,10,5,5.10702591327572e-17,14,25,5.10702591327572e-17,27,79,25,4.433652497196348,6.315290170068027,25.0,0.0384418853809999,2,20,17,16,5
4650.0,2.850772792332384,1.176836406102666e-16,9,6,1.176836406102666e-16,13,19,1.176836406102666e-16,28,74,25,4.190859237101987,5.991093776074982,25.0,0.1362986491899999,2,24,17,23,3
4025.0,2.396439969118633,3.774758283725533e-17,11,5,3.774758283725533e-17,11,25,3.774758283725533e-17,20,56,30,4.119411395787226,5.934314423337076,3725.0,-0.1684903688750001,7,20,21,16,14
325.0,2.512306783036116,1.3322676295501878e-17,6,6,1.3322676295501878e-17,22,27,1.3322676295501878e-17,24,90,22,4.103203598752946,5.946696633681884,925.0,0.028624629814,8,17,26,14,13
4875.0,2.4875578225356807,6.217248937900877e-17,8,3,6.217248937900877e-17,20,24,6.217248937900877e-17,23,70,25,4.382306720926716,6.085273147162892,1875.0,0.132298489528,10,9,23,21,13
3100.0,2.4894511595142483,5.773159728050814e-17,11,4,5.773159728050814e-17,12,22,5.773159728050814e-17,24,66,24,4.707979116298193,6.461941481603267,1250.0,-0.1665707391119999,4,13,25,21,12
50.0,2.6808055122919137,2.6201263381153693e-16,12,3,2.6201263381153693e-16,14,25,2.6201263381153693e-16,18,71,24,4.465771576969459,6.383961293324542,1250.0,0.0588423349019999,4,24,20,18,13
4425.0,2.439300227357784,2.220446049250313e-17,12,3,2.220446049250313e-17,18,24,2.220446049250313e-17,18,74,25,4.420552222613933,6.239287510085855,950.0,0.13408888698,9,19,19,18,11
4400.0,2.367519214288581,5.773159728050814e-17,9,4,5.773159728050814e-17,14,21,5.773159728050814e-17,22,76,30,4.411340650615358,6.154128483577114,3750.0,-0.132746608807,10,18,18,18,10
25.0,2.512212307414864,6.217248937900877e-17,8,8,6.217248937900877e-17,24,26,6.217248937900877e-17,27,73,24,4.1008693629945565,6.077961166367492,1875.0,0.053808910659,17,17,21,17,2
