2,x_mean,28,20,21,z_std,1,15,16,6,5,4,26,13,y_tm_peaks,x_tm_peaks,y_std,y_mean,27,14,22
20,-0.034667497912,8,4,9,2.449986101024524,20,16,32,26,44,27,27,28,4025.0,25.0,1.3214309089134653,0.0701508966975,17,22,16
20,-0.0179657717579999,4,3,11,2.615982798292599,18,30,35,29,42,35,23,28,75.0,1200.0,1.3540050064431846,0.024628410962,11,20,13
22,-0.0114480136635,5,2,15,2.8011373380805344,21,20,28,35,43,27,20,26,4200.0,1200.0,1.3945522685947933,-0.041900554024,17,34,15
20,-0.017824327609,6,10,16,2.514648099285483,18,26,25,29,32,21,24,25,3500.0,1175.0,1.3069653180990106,-0.0503086630985,20,31,16
19,0.0117496921235,19,5,10,2.2666715892852585,16,21,26,32,26,21,25,28,1875.0,1175.0,1.2934602612443795,-0.0248697310094999,20,26,19
6,-0.0055273010234999,3,5,16,2.582880664709068,1,33,32,41,25,33,22,23,350.0,25.0,1.415058055240883,0.0040021947904999,5,31,27
16,0.0766354253584999,5,7,19,2.7842160273079646,3,50,30,52,34,26,16,31,325.0,2375.0,1.470507827350587,-0.0185002137699999,11,34,20
21,0.00638324574,9,2,5,2.8292297497721743,12,41,15,46,34,31,25,38,2975.0,800.0,1.362148549160473,0.0369523496115,21,35,13
22,-0.0933041650655,4,2,4,2.8285881003541764,10,24,35,34,35,31,29,22,50.0,350.0,1.360877416549983,0.0982002901164999,13,24,16
26,0.0101851579884999,3,14,31,2.568004010290354,10,32,29,21,35,28,10,20,3050.0,4050.0,1.3698611737778923,-0.0016573726144999,4,18,51
15,-0.002365016678,4,13,16,2.5541859334227706,9,33,33,33,32,32,20,24,1600.0,1525.0,1.472715095801257,-0.063053160248,9,22,34
18,-0.0025085188925,7,15,20,2.836389905777126,6,22,32,33,27,34,14,17,2975.0,2300.0,1.5744376250943846,-0.0400190172969999,7,28,35
21,0.0412926868615,5,12,22,2.9967448845714806,7,26,32,30,29,24,17,18,300.0,2650.0,1.6734995137886362,-0.007272732016,10,17,32
19,0.015630173257,5,13,21,2.992751770961935,9,25,27,31,33,19,24,23,2525.0,775.0,1.7571313672196192,0.0481688509204999,10,24,23
13,0.0217466488205,2,23,15,3.07737563994652,11,33,36,35,36,18,16,29,575.0,1775.0,1.855955891373117,0.0408833108189999,11,37,41
28,-0.0425597236294999,5,20,13,3.01992493044622,13,38,38,29,27,28,14,26,650.0,1150.0,1.799942056659129,-0.0214840301129999,9,33,40
28,-0.0472991745725,5,22,17,2.8128678624239902,11,30,36,34,21,22,13,23,4600.0,3450.0,1.5801421722478486,-0.0856303058414999,9,25,44
26,0.027809680134,4,8,24,2.5890138081422416,9,29,31,40,27,22,17,21,2625.0,2325.0,1.6187375467818894,-0.0231237140359999,14,23,30
26,0.072752654457,12,8,19,2.6326062750102768,10,19,23,35,30,25,21,18,2875.0,25.0,1.670101804010695,0.0513547152929999,10,16,21
27,-0.0342565504345,3,9,24,2.7230614128421142,12,18,28,31,21,27,12,17,4100.0,3125.0,1.5968737277111198,0.053266649814,11,21,39
25,-0.0384701207924999,2,8,31,2.534029117337035,7,19,31,26,30,22,9,23,2675.0,3175.0,1.442414314590009,0.0326029382034999,8,21,49
25,-0.020392274864,5,2,13,2.3732439718367173,7,36,35,24,29,30,23,18,3675.0,1175.0,1.222105856562603,-0.0318748837769999,9,18,31
35,0.0308282982325,4,8,15,2.665469187844277,11,42,46,24,28,29,18,21,1650.0,2350.0,1.065990799154,-0.0403826500959999,13,20,30
35,0.0151198936775,5,14,22,2.900205470078505,8,29,41,29,30,28,20,12,1750.0,350.0,1.0462839943332882,-0.024726644487,13,17,33
33,0.012116557982,6,14,20,2.867539957211436,9,27,30,37,30,22,26,14,4075.0,350.0,1.1142687717940156,0.0080709667365,11,20,35
30,0.0148992879995,6,17,18,2.796988033582797,25,33,38,22,44,26,25,13,2025.0,3425.0,1.1782369158329644,0.034264371554,8,16,41
29,-0.0334716114799999,6,19,12,2.6911356460457063,25,28,35,25,37,23,17,14,4200.0,1150.0,1.1562360636291371,0.012275298111,8,18,45
26,-0.0246531456515,5,11,17,2.62485709768993,15,25,30,37,28,22,16,19,3275.0,3475.0,1.0299777638239205,-0.017824615133,11,21,37
