8,z_tm_peaks,2,20,12,17,5,7,27,x_abs_diff,z_mean,y_abs_diff,z_abs_diff,14,9,19,16,10,11,x_std,28
37,4500.0,16,10,46,9,26,46,9,1.2212453270876722e-17,0.0007288011259999,1.2212453270876722e-17,1.2212453270876722e-17,42,12,3,7,11,34,1.054947988381964,7
25,600.0,12,10,47,6,19,50,8,4.440892098500626e-18,-0.0209987741485,4.440892098500626e-18,4.440892098500626e-18,31,4,4,8,18,34,1.158248464256182,7
25,2950.0,7,2,41,6,25,49,8,4.440892098500626e-18,-0.0021888258935,4.440892098500626e-18,4.440892098500626e-18,24,6,7,9,18,45,1.1794556342059186,8
41,1650.0,6,4,40,6,29,33,7,7.771561172376098e-18,3.645437199998103e-05,7.771561172376098e-18,7.771561172376098e-18,20,10,2,9,18,54,1.1458581268939554,6
49,25.0,9,4,45,7,22,28,13,8.604228440844962e-17,0.0073447695219999,8.604228440844962e-17,8.604228440844962e-17,27,15,3,11,14,39,1.2371141104104515,5
15,2650.0,10,13,43,10,23,52,11,1.6653345369377347e-17,0.053016208865,1.6653345369377347e-17,1.6653345369377347e-17,39,2,4,7,10,18,1.2591801427294889,8
11,4550.0,14,6,38,7,27,55,9,1.3322676295501878e-17,-0.002117271643,1.3322676295501878e-17,1.3322676295501878e-17,46,4,5,9,5,21,1.2359166489695008,9
41,3175.0,5,4,47,7,24,53,8,3.885780586188048e-17,0.025734812521,3.885780586188048e-17,3.885780586188048e-17,29,8,2,11,11,39,1.237421984406556,7
29,550.0,6,8,56,11,27,56,10,3.9412917374193055e-17,0.0212488085445,3.9412917374193055e-17,3.9412917374193055e-17,31,8,4,5,7,36,1.1957292156638497,5
21,1150.0,9,12,49,5,28,52,10,3.191891195797325e-17,0.0156869972164999,3.191891195797325e-17,3.191891195797325e-17,23,6,1,9,19,53,1.2149711179957543,4
21,3575.0,10,16,60,1,24,61,7,1.1102230246251568e-18,0.005579898139,1.1102230246251568e-18,1.1102230246251568e-18,21,5,1,10,16,46,1.1861481210900673,5
25,2150.0,15,11,45,9,11,50,6,5.3290705182007506e-17,-0.0096386930289999,5.3290705182007506e-17,5.3290705182007506e-17,17,6,2,11,14,50,1.024734477120617,5
22,4525.0,11,12,46,10,16,49,8,2.2759572004815708e-17,-0.0001394796604999,2.2759572004815708e-17,2.2759572004815708e-17,16,12,3,6,19,51,0.9516233726737994,6
18,2950.0,15,11,58,9,24,47,7,1.0547118733938989e-17,0.0176959242459999,1.0547118733938989e-17,1.0547118733938989e-17,18,5,2,9,9,30,0.9932976892532828,7
8,4475.0,17,11,61,8,38,29,5,5.2735593669694933e-17,0.0005334379279999,5.2735593669694933e-17,5.2735593669694933e-17,17,1,2,14,4,36,1.0501057518081556,8
6,4125.0,18,8,70,7,34,32,7,2.2759572004815708e-17,-0.009648861605,2.2759572004815708e-17,2.2759572004815708e-17,23,2,1,12,14,44,1.0521289692597895,7
14,4525.0,20,5,62,8,22,34,6,3.3306690738754695e-17,-0.0127227390935,3.3306690738754695e-17,3.3306690738754695e-17,18,4,1,7,22,39,1.024337936928824,5
8,4150.0,16,21,46,6,35,21,7,2.8588242884097775e-17,-0.003240798527,2.8588242884097775e-17,2.8588242884097775e-17,15,3,8,9,27,33,0.9404874047292222,5
11,3550.0,13,20,42,11,42,25,5,5.551115123125784e-19,0.0011195909374999,5.551115123125784e-19,5.551115123125784e-19,21,3,6,7,19,37,0.9540117424949766,6
16,2125.0,15,9,43,6,46,22,6,2.220446049250313e-18,-0.011726525729,2.220446049250313e-18,2.220446049250313e-18,25,3,3,11,10,30,0.9665143963369832,8
13,4500.0,16,6,40,5,40,22,9,1.9984014443252817e-17,-0.0084867181989999,1.9984014443252817e-17,1.9984014443252817e-17,24,3,2,11,9,34,0.9243407326519494,6
11,1150.0,8,1,46,6,20,44,4,5.551115123125784e-19,-0.0026692749629998,5.551115123125784e-19,5.551115123125784e-19,16,6,2,11,26,47,0.9471080971038424,7
