18,0,z_std,23,12,26,6,x_tm_peaks,17,22,14,25,20,21,10,15,27,x_abs_diff,x_mean,z_tm_peaks,x_std
2,4,2.952669395061892,45,59,12,33,2275.0,6,23,31,45,3,27,13,10,6,4.440892098500626e-18,-0.0048882808109999,4500.0,2.208693053114476
4,2,2.917937458427497,39,40,11,43,2275.0,5,14,25,59,6,27,13,17,3,4.6906922790412856e-17,0.0449150164284999,1500.0,2.039236649581892
1,10,2.885916210264735,24,60,9,32,2275.0,5,24,15,59,18,16,18,2,4,4.773959005888173e-17,-0.0217823434075,3400.0,2.055582601338608
3,3,2.979929744990261,31,55,3,30,2275.0,4,25,12,40,28,16,27,2,3,6.661338147750939e-18,-0.0522969251019999,3400.0,2.086409727384225
3,3,3.301693461100431,25,55,3,25,3400.0,3,25,22,45,16,26,15,11,6,9.992007221626408e-18,0.0332092639354999,1125.0,2.1043962187661287
4,2,3.2246035786245018,31,56,7,24,225.0,3,27,27,40,14,22,8,11,5,1.0547118733938989e-17,0.0030012731089999,2275.0,1.975775497612168
3,6,2.923299766919275,31,62,17,26,25.0,3,25,32,36,19,15,9,9,2,3.774758283725533e-17,0.0524644140335,2250.0,1.8885008205079692
0,7,3.0150981712518075,26,54,17,33,25.0,1,19,14,54,16,19,21,12,2,1.1102230246251566e-17,-0.0237482595539999,3325.0,2.0877366862081623
2,8,3.0204165685482267,36,59,18,26,25.0,2,16,10,49,15,24,19,11,4,1.4432899320127036e-17,-0.0526765881855,3375.0,1.983141762106157
4,4,3.153581711517477,33,47,5,34,1125.0,7,27,12,48,25,15,10,9,1,4.440892098500626e-18,0.0418683820599999,2250.0,1.924948724105244
3,5,3.001496994952235,39,49,8,34,2275.0,5,22,14,45,19,18,14,9,2,3.469446951953614e-20,0.008099671432,2275.0,2.0153158448127098
2,5,2.8045333218469475,40,64,15,37,2275.0,2,11,10,49,16,18,19,8,5,2.1094237467877975e-17,0.0234566762165,4975.0,1.8465186448394697
2,4,2.838120894948298,27,45,26,33,375.0,4,12,42,43,15,18,2,13,5,1.3322676295501878e-17,-0.027138479827,1100.0,1.7438936145945945
3,4,3.012566140661878,22,49,28,31,2375.0,4,15,39,42,12,21,3,13,6,1.1102230246251568e-18,-0.0348344570689999,1100.0,1.836702867138424
4,3,3.0945842456350885,26,65,20,32,2275.0,3,22,21,54,9,21,3,12,4,5.440092820663267e-17,0.037091797121,4525.0,1.801331360577502
0,4,2.872372459099576,38,62,10,30,25.0,4,19,14,46,10,23,43,3,3,2.0539125955565402e-17,-0.0165146427115,3400.0,1.990118818819663
2,3,2.702585326039372,26,47,13,37,25.0,1,20,20,45,8,27,14,6,4,2.1371793224034264e-17,0.0143896129779999,2300.0,2.00331858412548
1,6,2.48716434853567,25,54,13,33,2350.0,3,18,20,55,9,22,17,6,4,1.3322676295501878e-17,-0.0038922875405,2350.0,1.8183409817166072
3,8,2.597599244697681,26,48,10,26,1175.0,4,23,18,42,15,28,14,11,3,5.773159728050814e-17,-0.0194105530019999,2300.0,1.9497776537062192
2,9,2.643638277264218,30,37,8,25,925.0,3,18,16,40,18,30,34,9,3,4.0523140398818207e-17,0.0195796382619999,1150.0,1.791887663970944
3,5,2.5527610905955456,39,53,4,26,25.0,5,16,18,35,15,30,26,8,4,9.436895709313833e-18,-0.0010911573445,4600.0,1.4936681471243398
5,8,2.5569908559336003,46,57,4,26,3400.0,6,17,26,39,17,27,14,7,4,2.331468351712829e-17,-0.0206706382214999,3400.0,1.5233449877009249
3,2,2.613875157796904,43,46,4,33,1150.0,9,22,25,37,18,25,13,14,3,3.3306690738754695e-18,0.0285872200895,1550.0,1.7092393563696455
5,3,2.6402526389996623,38,34,7,30,1150.0,8,21,36,41,12,23,5,16,5,2.1094237467877975e-17,0.0104981287494999,2275.0,1.6858200078401282
5,5,2.6322039434873914,23,39,41,25,1125.0,6,24,21,37,2,11,8,24,14,4.996003610813204e-18,-0.0355676232805,1125.0,1.599943990476186
4,6,2.7294612668128213,22,41,40,33,2275.0,7,27,23,35,1,13,11,17,14,8.43769498715119e-17,0.0268404478814999,4575.0,1.5694424892677084
7,8,2.6337956191126666,38,49,15,29,4600.0,5,20,32,46,4,24,11,12,10,1.3322676295501878e-17,0.0082802613519999,2325.0,1.6210862090621194
5,10,2.580900960231155,39,59,11,32,25.0,6,26,26,47,6,20,7,9,5,8.326672684688674e-17,0.0099268272324999,600.0,1.6991189437590182
6,14,2.672010115193735,34,61,5,23,1125.0,4,26,23,34,18,25,6,6,2,5.551115123125783e-18,-0.0072284105819999,1100.0,1.689858994977875
