15,z_tm_peaks,25,9,0,18,10,23,4,1,11,21,y_abs_diff,z_abs_diff,x_abs_diff,3,17,y_tm_peaks,x_tm_peaks,19,27
9,3825.0,20,1,8,5,12,38,31,25,26,30,3.552713678800501e-17,3.552713678800501e-17,3.552713678800501e-17,42,4,3600.0,1100.0,2,4
20,4550.0,7,1,2,3,11,58,44,4,16,23,9.992007221626408e-18,9.992007221626408e-18,9.992007221626408e-18,51,6,4250.0,4225.0,5,3
11,2800.0,4,4,2,3,12,61,48,2,13,15,3.3306690738754695e-18,3.3306690738754695e-18,3.3306690738754695e-18,34,1,2175.0,1200.0,2,3
13,3825.0,5,2,10,3,11,46,24,14,20,15,9.714451465470121e-17,9.714451465470121e-17,9.714451465470121e-17,48,0,3875.0,2200.0,4,1
13,4250.0,2,5,9,4,15,59,28,11,22,16,7.771561172376098e-18,7.771561172376098e-18,7.771561172376098e-18,43,4,1125.0,3125.0,3,2
5,4375.0,2,6,10,3,17,65,36,11,41,13,4.5657921887709563e-17,4.5657921887709563e-17,4.5657921887709563e-17,44,7,3300.0,3425.0,3,3
1,475.0,3,1,7,1,6,62,44,17,23,22,2.220446049250313e-18,2.220446049250313e-18,2.220446049250313e-18,43,5,3975.0,2175.0,3,2
3,3300.0,7,1,5,2,12,48,42,15,28,23,1.1102230246251568e-18,1.1102230246251568e-18,1.1102230246251568e-18,47,3,3650.0,450.0,1,3
9,25.0,9,5,5,3,28,58,40,11,28,20,1.1102230246251568e-18,1.1102230246251568e-18,1.1102230246251568e-18,44,4,3225.0,3300.0,2,3
8,2700.0,6,7,10,5,14,64,41,16,33,21,1.1102230246251566e-17,1.1102230246251566e-17,1.1102230246251566e-17,35,3,2600.0,1100.0,2,2
14,4700.0,1,5,2,4,6,59,28,11,21,18,3.4416913763379846e-17,3.4416913763379846e-17,3.4416913763379846e-17,37,3,4525.0,1150.0,4,3
12,3350.0,4,2,2,5,6,54,35,15,26,18,1.609823385706477e-17,1.609823385706477e-17,1.609823385706477e-17,48,4,3375.0,25.0,3,5
7,3350.0,5,4,2,4,14,62,37,16,21,20,4.85722573273506e-18,4.85722573273506e-18,4.85722573273506e-18,47,5,4525.0,1100.0,2,4
19,4875.0,21,2,7,7,4,60,45,13,13,24,1.1102230246251566e-17,1.1102230246251566e-17,1.1102230246251566e-17,36,5,1025.0,1125.0,3,5
19,4675.0,22,2,6,6,5,50,32,10,7,19,9.880984919163891e-17,9.880984919163891e-17,9.880984919163891e-17,23,5,3650.0,175.0,4,5
22,125.0,52,2,6,7,3,16,57,14,19,18,5.773159728050814e-17,5.773159728050814e-17,5.773159728050814e-17,35,3,2250.0,25.0,4,13
13,3425.0,21,2,6,4,11,44,35,10,32,23,3.3306690738754695e-17,3.3306690738754695e-17,3.3306690738754695e-17,33,7,3500.0,25.0,2,3
8,3575.0,17,11,4,6,5,42,23,7,41,26,2.220446049250313e-17,2.220446049250313e-17,2.220446049250313e-17,17,2,3650.0,4400.0,2,5
4,3575.0,32,3,6,8,6,36,33,9,39,20,2.7478019859472624e-17,2.7478019859472624e-17,2.7478019859472624e-17,22,1,1200.0,25.0,3,0
7,25.0,33,6,7,2,31,39,42,9,60,15,4.9404924595819467e-17,4.9404924595819467e-17,4.9404924595819467e-17,19,5,25.0,1975.0,6,2
1,600.0,33,10,2,0,52,41,35,6,65,18,3.663735981263017e-17,3.663735981263017e-17,3.663735981263017e-17,17,5,3850.0,3475.0,2,6
5,4625.0,24,8,1,2,8,46,36,5,50,26,3.053113317719181e-17,3.053113317719181e-17,3.053113317719181e-17,27,4,3325.0,1125.0,4,4
8,50.0,17,2,9,3,8,53,30,15,31,27,2.0539125955565402e-17,2.0539125955565402e-17,2.0539125955565402e-17,33,3,2325.0,1125.0,4,3
9,1125.0,12,4,3,3,6,58,39,13,31,19,6.994405055138485e-17,6.994405055138485e-17,6.994405055138485e-17,33,4,2225.0,750.0,6,4
8,3875.0,11,2,10,3,12,64,35,20,41,16,2.886579864025407e-17,2.886579864025407e-17,2.886579864025407e-17,44,4,2225.0,25.0,3,3
9,4625.0,16,2,11,5,11,42,46,25,24,18,1.9984014443252817e-17,1.9984014443252817e-17,1.9984014443252817e-17,44,2,25.0,25.0,2,4
7,1725.0,23,2,7,6,9,43,50,26,17,26,4.773959005888173e-17,4.773959005888173e-17,4.773959005888173e-17,47,4,2200.0,25.0,2,3
4,4575.0,22,2,13,5,4,47,37,15,17,31,4.6629367034256567e-17,4.6629367034256567e-17,4.6629367034256567e-17,28,2,2300.0,3450.0,4,4
10,4575.0,29,3,3,2,9,39,36,17,34,28,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,36,5,2250.0,1150.0,2,5
20,4625.0,28,4,4,4,1,33,31,16,6,25,2.55351295663786e-17,2.55351295663786e-17,2.55351295663786e-17,36,3,4600.0,1150.0,1,2
10,3450.0,29,2,6,4,1,29,36,12,5,26,5.2180482157382354e-17,5.2180482157382354e-17,5.2180482157382354e-17,33,2,2375.0,1175.0,3,3
13,450.0,22,2,6,0,7,27,40,20,27,26,2.220446049250313e-18,2.220446049250313e-18,2.220446049250313e-18,20,3,100.0,1175.0,2,3
19,2775.0,21,2,9,2,6,42,35,24,18,25,3.774758283725533e-17,3.774758283725533e-17,3.774758283725533e-17,33,2,3100.0,1175.0,2,4
13,3475.0,22,4,10,2,5,41,33,12,12,33,2.55351295663786e-17,2.55351295663786e-17,2.55351295663786e-17,38,2,1125.0,1175.0,2,3
35,4550.0,11,7,9,5,2,50,28,14,13,30,3.774758283725533e-17,3.774758283725533e-17,3.774758283725533e-17,29,8,1075.0,4525.0,3,8
30,4475.0,11,1,9,4,3,56,41,28,17,26,2.886579864025407e-17,2.886579864025407e-17,2.886579864025407e-17,26,11,3450.0,1150.0,5,6
12,3825.0,13,2,12,2,10,48,34,29,29,18,1.7763568394002505e-17,1.7763568394002505e-17,1.7763568394002505e-17,34,2,3400.0,2275.0,1,3
9,3775.0,7,2,11,2,8,51,42,24,34,20,9.436895709313833e-18,9.436895709313833e-18,9.436895709313833e-18,41,0,1125.0,2225.0,3,0
7,3375.0,5,2,17,0,5,63,38,30,37,28,4.6629367034256567e-17,4.6629367034256567e-17,4.6629367034256567e-17,40,3,4500.0,3375.0,2,4
