12,26,6,14,x_abs_diff,mean_res_accel,21,25,x_std,27,y_tm_peaks,22,20,x_tm_peaks,z_mean,16,18,2,8,4,15
34,4,37,25,2.0872192862952942e-16,5.734513340366122,18,38,4.008775675623105,5,25.0,17,16,4375.0,0.1044825932974999,12,10,19,22,28,19
48,10,35,20,8.881784197001253e-17,6.286048014519148,23,40,4.415582894130804,3,1050.0,16,16,25.0,-2.655819150002792e-05,13,1,16,17,26,20
58,16,31,15,1.2212453270876723e-16,6.342132066259054,25,34,4.517836417485429,5,3300.0,15,17,25.0,-0.0540459637485,17,1,18,12,22,19
21,23,28,53,1.2878587085651815e-16,6.010452940790932,16,31,4.5377111522632365,9,1050.0,10,22,25.0,0.122283557082,12,9,17,8,28,14
41,22,43,49,4.440892098500626e-18,6.041332056227847,15,29,4.334127703478635,7,3175.0,11,24,25.0,-0.0003573174634999,14,7,18,4,27,9
41,17,42,54,1.3655743202889423e-16,5.973107537939308,20,28,4.1385846387201966,5,1075.0,12,21,2150.0,-0.1078072909159999,16,8,13,6,27,16
40,21,51,38,2.220446049250313e-17,5.794065961549746,18,28,4.095388603861805,4,1125.0,7,19,1100.0,0.067879333404,12,6,13,7,27,17
44,29,51,38,1.1102230246251563e-16,5.840986585294326,17,23,4.170589487006545,13,3275.0,12,17,2200.0,-0.121700432774,10,6,10,8,20,13
43,22,38,34,3.885780586188048e-18,5.998781187736561,18,35,4.308930992675323,11,2275.0,16,18,4350.0,-0.0404345119454999,10,8,13,10,20,11
38,21,41,25,2.042810365310288e-16,5.775556584542049,17,35,4.182264250110962,5,3300.0,13,15,25.0,0.1305007618704999,6,11,17,14,20,12
32,19,36,51,3.1086244689504386e-17,5.823762121528719,14,30,4.36970632247106,7,4275.0,17,22,2200.0,-0.0704717688249999,11,9,9,30,18,22
33,23,43,43,8.881784197001253e-17,5.930599324411514,13,32,4.399536349730775,13,1100.0,17,22,1075.0,0.0260052263755,15,7,13,12,18,17
33,24,38,49,6.661338147750939e-17,5.723682501021422,13,34,4.214360103770784,10,2150.0,14,17,1075.0,0.0446749697969999,21,7,22,8,26,11
49,23,53,36,5.773159728050814e-17,5.757700266993645,13,33,4.303098715306406,10,2150.0,15,16,3225.0,0.0115761204924999,24,4,14,19,15,12
24,22,52,58,5.3290705182007506e-17,6.041444053320446,17,38,4.438699659531882,15,1075.0,17,11,2175.0,0.0551396501134999,14,6,12,18,18,26
15,23,46,58,1.5487611193520934e-16,6.00295807032443,23,36,4.384344304134381,18,1075.0,13,10,675.0,-0.044919828815,19,5,16,20,17,32
40,19,41,34,1.7763568394002505e-17,5.819386755461913,18,35,4.27303224643181,11,2350.0,9,16,1125.0,0.0530396638189999,17,9,16,21,16,25
54,21,33,32,5.551115123125783e-17,5.804283682221555,19,32,4.18499303363675,8,125.0,13,15,25.0,-0.1419090553629999,17,4,18,4,29,18
52,24,35,30,1.1324274851176594e-16,5.773264613813536,19,27,4.174970954318513,8,3325.0,16,16,2200.0,-0.1299674581039999,16,5,23,6,22,17
32,28,43,17,1.9095836023552687e-16,5.762509637580556,15,33,4.320696405653442,5,2225.0,12,17,3300.0,0.1404123645615,13,7,22,8,24,11
62,28,40,6,2.4424906541753444e-17,5.905537224505125,19,35,4.476680135871425,6,2225.0,9,16,2150.0,-0.0187193496924999,6,2,14,8,26,14
49,24,38,32,7.438494264988548e-17,6.174052619475356,22,31,4.339944036600475,14,25.0,10,16,1075.0,-0.0194293520429999,13,3,11,23,20,10
39,23,38,40,1.7763568394002505e-17,6.038109448559854,17,27,4.1692123770018,13,2125.0,15,19,1050.0,0.036441695772,10,12,20,18,19,20
30,32,40,44,8.881784197001254e-18,5.844069059037444,14,30,4.408163825688501,6,25.0,16,15,1075.0,0.0683607710305,19,10,19,18,20,26
42,32,39,29,8.881784197001253e-17,5.863827789249774,18,31,4.359574851988229,9,4325.0,13,17,1075.0,0.0180197654385,12,2,19,14,20,13
47,26,34,28,4.884981308350689e-17,5.891334778003377,18,32,4.292869251170753,9,25.0,17,18,25.0,-0.0526527635685,12,4,23,3,34,15
44,24,39,28,1.0658141036401501e-16,5.749536771976075,16,30,4.449112962298035,4,125.0,14,20,2150.0,0.0961985069919999,10,4,20,5,26,20
45,21,37,42,6.661338147750939e-17,5.777414887154067,17,38,4.415741653250866,4,25.0,10,25,1075.0,-0.0039858524675,10,9,19,8,24,24
43,24,31,47,5.551115123125784e-19,5.9726122626050335,20,30,4.345524271195364,5,3250.0,11,26,1075.0,-0.104040328918,16,6,21,8,29,18
40,25,43,46,7.993605777301127e-17,5.822150542618681,16,32,4.301508923348777,4,25.0,12,24,1075.0,0.084516791717,17,6,14,23,15,27
39,22,43,38,7.105427357601002e-17,5.842381668438979,17,33,4.427598374635679,3,1100.0,12,25,25.0,-0.0721133943949999,11,4,13,19,18,31
37,23,42,46,1.6431300764452314e-16,5.980637603427282,17,29,4.523026199790541,5,2125.0,15,23,25.0,-0.0841766714959999,12,8,16,17,16,20
19,24,52,61,2.3980817331903383e-16,5.888868900642201,15,30,4.451935652196206,6,4275.0,14,19,1050.0,0.168436358337,17,6,14,14,12,23
25,24,42,67,7.105427357601002e-17,5.800643832484139,13,29,4.319037461736553,3,1075.0,16,24,1050.0,-0.0278736493945,11,4,12,15,19,22
38,16,36,34,1.2545520178264268e-16,5.725606494635873,18,33,4.228201408894351,7,2150.0,15,21,2150.0,-0.1070070186399998,17,2,13,5,35,12
58,15,41,20,1.6431300764452314e-16,5.514871995704834,16,42,4.216511661595126,4,2150.0,16,16,3250.0,0.1021521152315,15,1,16,5,32,23
62,21,48,16,1.0769163338864017e-16,5.577661472972568,16,34,4.233998316677195,2,3300.0,16,22,2200.0,-0.129461781273,8,1,18,13,14,19
54,15,43,18,3.9968028886505634e-17,5.759217798672761,18,32,4.158102121556314,4,3300.0,19,24,2200.0,-0.0502034186835,12,4,17,14,15,15
37,13,48,38,1.3322676295501878e-17,5.527541587230782,15,29,4.107388286712011,5,25.0,17,23,2150.0,0.1352555312789998,21,4,12,12,17,22
24,21,44,49,1.3322676295501878e-17,5.503757857633396,18,35,4.274806162746283,2,125.0,11,17,3300.0,0.0393657972805,18,4,9,6,27,32
42,19,40,28,1.2434497875801754e-16,5.934097075183994,19,37,4.371529846604806,6,3250.0,16,22,3250.0,0.0305478811049999,14,5,12,8,30,22
