window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
21,-0.019659180676608382,0.010049331091470184,0.14201683065925047,6.029373276726688,4.50768094800423,2.62171253960311,4.049297744226972,2.6938245178999556,-10.50669472222411,-5.475188673438029,-8.07158740744775,0.8881028935978488,8.376156753775891,9.255106612661969,11.198790886352251,12.183390391333988,10.1597870061926,3.436738814683786,8.20849050079607,21.80501632167245,35,30,33,0,10,11,15,15,19,32,33,34,24,7,7,17,52,52,31,15,15,6,3,2,18,16,14,32,48,43,15,4,3,7,5,29,25,31,30,23,21,18,8,10,21
22,0.05881987412339166,-0.0034448702310297865,0.030208812561750436,6.006171919872564,4.423837983141831,2.588239322791318,4.125204460970196,2.686432620400798,-9.983599772324109,-4.55143440003803,-7.97610042714775,0.8881028935978488,9.895887261075892,6.883829983061971,11.198790886352251,12.356865059687467,9.786901139340124,3.3494973295870825,8.509112208582396,21.645510677509606,36,35,28,0,11,17,13,15,26,45,32,29,9,3,12,21,40,49,29,12,5,17,9,6,23,16,13,31,50,43,9,5,2,8,10,20,30,31,33,23,25,10,9,9,21
23,0.11559321911989162,0.06637064593397012,-0.03856578854724965,5.880873271180002,4.2626344196068615,2.6145975368959142,4.094250858372185,2.6839609367045085,-9.92784501352411,-5.70862650463803,-8.15546959044775,0.7441855066319514,9.895887261075892,6.664447470461971,11.114704341752251,12.669130010114197,9.091706993761813,3.4202626712919355,8.382188705663815,20.89415837071756,36,34,29,0,9,18,12,11,33,47,33,26,9,2,3,11,24,48,47,22,9,13,15,8,14,24,15,32,45,49,6,5,1,9,11,23,30,32,36,23,20,11,6,8,21
24,-0.03496723570310837,-0.08972696616202985,-0.18032656687424964,6.052393077598339,4.421091910297666,2.635421295117926,4.174111445456232,2.7064801462672845,-10.225389600624109,-6.85791381203803,-9.13277825044775,0.7441855066319514,8.73582546407589,7.75889989946197,11.83478556005225,13.480828420199437,9.77363819343609,3.476748165608843,8.727862014904682,21.978248373949604,35,33,29,0,10,15,11,13,33,28,34,29,22,5,3,3,23,56,48,29,11,11,13,3,9,23,22,25,50,45,12,6,0,8,9,28,28,34,30,30,18,15,5,3,21
25,-0.11465803583710844,0.05890090340497012,-0.007660314238249581,6.396297121413831,4.4668848519684206,2.953152441819741,4.400937065918875,2.6732890379008296,-11.554810300624109,-6.85791381203803,-9.13277825044775,0.7471752929366606,8.969655995075891,7.91453078426197,11.83478556005225,13.480828420199437,9.983103372963473,4.36228933052391,9.684152869296424,24.029545572783817,41,36,31,0,5,6,15,20,35,37,25,24,22,11,1,2,39,55,29,26,16,15,11,6,6,27,21,28,44,36,19,9,2,8,4,21,31,35,33,30,18,16,8,4,21
26,0.01427858625989168,-0.01821703395852979,0.2092273201957504,6.412140973174212,4.642734188615689,2.82475587826435,4.403991855210826,2.803235760456457,-12.111209230524109,-5.260794056038029,-8.53835449584775,0.7471752929366606,9.25640664907589,7.91453078426197,12.07981173535225,13.579209729978148,10.777592312083282,3.9897888160576245,9.719460166139802,24.486841294280712,41,36,33,0,4,8,13,24,24,34,31,30,22,10,6,33,36,45,22,16,17,11,11,3,15,20,16,33,47,35,15,8,5,6,3,27,31,36,28,23,25,12,9,6,21
27,0.11200691610139167,0.05698474336647015,-0.025570215239249648,6.790471212997835,4.878740706098108,2.7753760243306744,4.823406276312758,2.945508175464404,-12.111209230524109,-6.22522687343803,-10.09863241954775,1.0341653895561327,9.828222639875891,7.093067432361971,12.07981173535225,13.579209729978148,11.907328213296603,3.852979668703037,11.632950971140334,27.393258853139997,36,37,30,0,3,12,19,17,21,35,33,34,19,7,6,11,24,31,56,23,18,11,13,7,14,18,14,24,42,45,21,10,5,7,5,26,34,29,17,27,25,20,13,4,21
28,0.04941407047889169,0.06460241994497014,0.004174121550750448,6.767452231835659,4.806936926024672,2.9530160350107764,4.714927734860784,2.875015268638945,-11.28034343952411,-7.4940959948380295,-10.09863241954775,1.0341653895561327,9.828222639875891,7.3191590285619705,11.672946150752251,13.1291817937223,11.554542180570415,4.362238587846758,11.115280484125078,27.032061252542253,35,43,29,0,8,10,21,16,24,32,33,37,12,7,4,9,10,27,55,44,16,11,15,9,10,23,13,20,36,54,21,10,4,9,3,26,29,33,16,25,22,28,9,9,21
29,-0.04939359709110839,-0.17390624556252976,-0.1320055055722497,6.328012032553339,4.598075713771527,2.709408076290437,4.302863042646943,2.6465439796574586,-11.28034343952411,-7.4940959948380295,-9.339159879747749,1.2688176375308602,10.00934147337589,7.3191590285619705,11.672946150752251,12.65259421629651,10.572369998504572,3.685567753056751,9.266027908639158,23.52396566020046,34,43,29,0,8,11,20,16,28,29,44,29,11,4,4,6,11,34,51,55,11,12,10,6,11,25,15,19,46,49,21,3,5,6,4,30,34,29,16,29,24,17,13,4,21
30,-0.1082114651696085,0.08177167538247017,-0.04215808751974963,6.338439619030384,4.582423821548757,2.7507130240477857,4.308336139474519,2.6402930405551897,-12.21169414142411,-6.466755300338029,-9.339159879747749,1.2688176375308602,10.00934147337589,7.455259707161971,11.26900916495225,13.231166576170764,10.505158900745833,3.7865543737804885,9.281768797522755,23.57348207204909,38,37,31,0,4,9,12,26,23,39,39,28,15,5,3,7,28,40,47,33,11,13,9,9,8,25,17,21,42,48,23,4,4,8,11,24,32,33,23,30,23,13,7,4,21
31,-0.08689801199010841,0.05025117761647005,0.23870067100325032,6.2655014205609385,4.717157079059111,2.7899170251796965,4.150378786646483,2.84102066046272,-12.21169414142411,-5.06676620793803,-9.13537041114775,1.228657904938262,11.83521565877589,7.586910390361971,11.60066692495225,13.231166576170764,11.129561086502656,3.893081094119686,8.64131104149127,23.6639532221136,34,35,28,0,6,11,17,21,27,48,40,22,6,2,7,29,36,43,34,14,10,12,7,8,7,21,16,27,48,46,21,3,2,9,12,32,28,33,21,26,17,18,8,5,21
32,-0.0029505609971082467,-0.09347779286303,-0.009736627201249548,6.111698194052808,4.601643603502134,2.3946156350719767,4.258594140423619,2.775052924994993,-11.29600354032411,-4.525609212638029,-9.13537041114775,1.228657904938262,11.83521565877589,7.586910390361971,11.60066692495225,13.16071187759156,10.58756627973115,2.871461068744856,9.06785942737982,22.526886775855825,34,33,29,0,7,16,19,17,30,50,33,20,7,1,12,26,43,47,31,17,8,8,5,3,12,19,17,27,46,48,16,4,5,6,12,37,25,32,24,24,19,16,5,6,21
